Date,Site,Turbidity,EC,pH,DOC-ppm,PO4-ppm,TP-ppm,NO3-ppm,NH4-ppm,TN-ppm,Chl,Pheo
7/25/19,Baby Marsh,9.81,300.5,7.84,4.120,0.208,0.256,0.110,0.000,0.501,3.644,1.733
8/20/19,Baby Marsh,14.2,195.1,7.99,4.005,0.204,0.256,0.081,0.004,0.473,1.968,1.826
9/10/19,Baby Marsh,12.2,456.1,8.23,5.408,0.164,0.201,0.074,0.108,0.658,1.560,1.655
10/15/19,Baby Marsh,7.79,253.3,8.28,4.267,0.116,0.172,0.010,0.081,0.461,1.017,0.675
3/9/20,Baby Marsh,5.17,,,5.027,0.140,0.144,0.315,0.006,0.762,1.203,2.359
3/16/20,Baby Marsh,10.5,,,5.331,0.157,0.158,0.282,0.007,0.717,1.026,2.536
3/22/20,Baby Marsh,11.7,,,5.866,0.130,0.152,0.184,0.006,0.661,1.075,2.166
5/7/20,Baby Marsh,18.2,,,5.923,0.250,0.254,0.088,0.078,0.815,1.079,2.476
6/9/20,Baby Marsh,11.6,,,4.179,0.264,0.280,0.027,0.096,0.805,1.189,1.682
2/11/20,Baby Marsh,681.1,7.97,5.65,4.659,0.093,0.147,0.083,0.144 ,0.796,1.295,1.036
2/18/20,Baby Marsh,694.4,8.15,7.26,4.890,0.093,0.105,0.067,0.040 ,0.788,1.605,1.632
2/25/20,Baby Marsh,698.4,8.25,5.84,5.743,0.090,0.124,0.054,0.032 ,0.944,1.440,1.831
3/3/20,Baby Marsh,699.2,8.4,7.47,5.673,0.116,0.186,0.084,0.030 ,0.740,1.684,1.678
4/26/19,Baby Marsh,12.2,456.4,7.81 ,5.156,0.170,0.235,0.474 ,0.014,0.818,6.095,5.232
5/7/19,Baby Marsh,21.4,537.3,7.95 ,6.442,0.134,0.231,0.300 ,0.012,0.706,1.929,1.695
5/23/19,Baby Marsh,19.0,506,7.87 ,5.926,0.147,0.244,0.964 ,0.014,1.378,3.568,3.222
6/4/19,Baby Marsh,13.8,532.9,7.50 ,4.876,0.185,0.270,0.397 ,0.016,0.738,2.602,2.707
6/20/19,Baby Marsh,18.3,365.7,7.50 ,4.564,0.186,0.290,0.171 ,0.012,0.533,2.041,2.242
6/3/19,Cos Beach,1.47,77.18,7.30 ,2.408,0.141,0.176,0.359 ,0.016,0.560,1.308,1.302
