Site,Date,Method,Throws,Rope Length_m,FlowMeterBegin,FlowMeterEnd,MeshSize_Microns,RingSize_cm,TotalVolume_ml,SplitFraction,Volumesubsampled_ml,Phylum,Class,Subclass,Order,Family,Genus,Species,male/female,LifeStage,abundance,Gravid_Y_N,Total_eggs,QC,
BABYMARSH,7/3/18,net throw,4,5,297005,298483,153,30,100,1,1,Arthropoda,Maxillopoda,Copepoda,Calanoida,Pseudodiaptoidae,Pseudodiaptoidae,Pseudodiaptoidae,,copepidite,120,,,Y,
BABYMARSH,7/3/18,net throw,4,5,297005,298483,153,30,100,1,1,Arthropoda,Maxillopoda,Copepoda,Calanoida,Pseudodiaptoidae,Pseudodiaptoidae,Pseudodiaptoidae,,adult,2,,,Y,
BABYMARSH,7/3/18,net throw,4,5,297005,298483,153,30,100,1,1,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops,,copepidite,1,,,Y,
BABYMARSH,7/3/18,net throw,4,5,297005,298483,153,30,100,1,1,Arthropoda,Maxillopoda,Copepoda,Cyclooida,Cyclopidae,Cyclopidae,Cyclopoida,,nauplii,1,,,Y,
BABYMARSH,7/3/18,net throw,4,5,297005,298483,153,30,100,1,1,Arthropoda,Maxillopoda,Copepoda,Calanoida,Calanoida,Calanoida,Calanoida,,nauplii,65,,,Y,
BABYMARSH,7/3/18,net throw,4,5,297005,298483,153,30,100,1,1,Arthropoda,Branchipoda,0,Cladocera,Daphniidae,Ceriodaphnia,Ceriodaphnia,,adult,1,,,Y,
BABYMARSH,7/3/18,net throw,4,5,297005,298483,153,30,100,1,1,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydoridae,Chydoridae,,adult,1,,,Y,
BABYMARSH,7/3/18,net throw,4,5,297005,298483,153,30,100,1,1,Arthropoda,Branchipoda,0,Cladocera,Siddidae,Diaphanosoma,Diaphanosoma,,adult,3,,,Y,
BABYMARSH,7/3/18,net throw,4,5,297005,298483,153,30,100,1,1,Arthropoda,Arachnida,acari,Hydracarina,0,0,Acari,,adult,1,,,Y,
BABYMARSH,7/3/18,net throw,4,5,297005,298483,153,30,100,1,1,Molussca,Gastropoda,Gastropoda,Gastropoda,Gastropoda,Gastropoda,Gastropoda,,adult,3,,,Y,
BABYMARSH,7/3/18,net throw,4,5,297005,298483,153,30,100,1,1,Arthopoda,Malacostraca,0,Amphipoda,Hyalellidae,Hyalella,Hyalella,,adult,1,,,Y,
COS-BEACH,12/10/18,net throw,4,5,437969,439825,153,30,100,1,5,Arthropoda,Maxillopoda,Copepoda,Calanoida,Pseudodiaptoidae,Pseudodiaptoidae,pseudodiaptoidae,,copepodite,15,,,Y,
COS-BEACH,12/10/18,net throw,4,5,437969,439825,153,30,100,1,5,Arthropoda,Maxillopoda,Copepoda,Calanoida,Pseudodiaptoidae,Pseudodiaptoidae,pseudodiaptoidae,,adult,8,,,Y,
