Site, Date, Time,Temp_C, EC_uS_cm, SPC_uS_cm, TDS_mg_L, Sal_PSU, DO_prcnt_sat, DO_mg_L, pH, Turb_NTU, Chl_ug_L, BGA_ug_L, Depth_ft, Crew, Weather, Comments, PDF_Link, QC?
COS-TRI,2018-01-01,1111,1,111.11,111.1,111,0.11,111,,,,,,,,,,,
COS-BEACH,2018-12-10,1121,10.003,125.4,176.4,115,0.08,61.2,6.91,7.03,0.47,2.81,0.65,,MO NC LT,foggy,,X:\mwtract\TASK1_Food_Web\Data\Field Data_Raw_Data\WaterQuality\WaterQualityDataSheetScans\Outside_Tract\12_10_2018.pdf,
MOK-US-RR,2018-12-10,1002,11.932,31.3,41.7,27,0.02,93.7,10.11,7.41,1.62,0.56,0.32,,MO NC LT,foggy,,WaterQualityDataSheetScans\Outside_Tract\12_10_2018.pdf,
COS-BEACH,2018-12-20,1100,10.684,151.9,209.7,136,0.1,43.8,4.86,7.29,15.59,15.48,1.43,,MO NC RP,overcast,,X:\mwtract\TASK1_Food_Web\Data\Field Data_Raw_Data\WaterQuality\WaterQualityDataSheetScans\Outside_Tract\12_20_2018.pdf,
MOK-US-RR,2018-12-20,1030,12.197,32.8,43.5,28,0.02,92.8,9.96,8.19,2.68,0.94,0.27,,MO NC RP,overcast,,WaterQualityDataSheetScans\Outside_Tract\12_20_2018.pdf,
COS-BEACH,2019-01-04,1109,5.68,117.8,186.7,121,0.09,82,10.26,7.37,9.98,5.93,0.93,,MO NC KN,sunny with scattered clouds,,X:\mwtract\TASK1_Food_Web\Data\Field Data_Raw_Data\WaterQuality\WaterQualityDataSheetScans\Outside_Tract\01_04_2019.pdf,
MOK-US-RR,2019-01-04,1035,8.29,29.4,43.1,28,0.02,94.9,11.16,8.23,1.02,0.44,0.38,,MO NC KN,sunny w/ scattered clouds,,WaterQualityDataSheetScans\Outside_Tract\01_04_2019.pdf,
COS-BEACH,2019-01-17,1330,10.844,162.2,222.3,144,0.11,71,7.4,7.71,21.27,5.8,0.76,,"MO, LT, ML","rain at start, cloudy with sun",,X:\mwtract\TASK1_Food_Web\Data\Field Data_Raw_Data\WaterQuality\WaterQualityDataSheetScans\Outside_Tract\01_17_2019.pdf,
MOK-US-RR,2019-01-17,1232,11.122,31.5,42.8,28,0.02,93.7,10.3,8.03,11.27,0.84,0.33,,MO LT ML,"rainy at start, then cloudy w/some sun ",,WaterQualityDataSheetScans\Outside_Tract\01_17_2019.pdf,
COS-TRI,2019-01-29,730,10.48,85.7,118.5,77,0.06,71.9,8.02,8.51,5.03,4.62,0.94,,"MO, NSC",cloudy,,,
COS-BEACH,2019-01-31,1145,10.762,116.7,160.6,104,0.08,79.2,8.78,7.72,19.53,5.52,0.74,,MO LT ML,"Foggy, then cloudy ",,,
MOK-US-RR,2019-01-31,1055,11.589,31.8,42.7,28,0.02,96.4,10.49,8.11,5.5,1.03,0.28,,MO LT ML,"Foggy, then cloudy ",,WaterQualityDataSheetScans\Outside_Tract\01_31_2019.pdf,
COS-TRI,2019-02-07,800,7.25,72.5,109.7,71,0.05,87.9,10.58,8.77,17.4,3.03,0.51,,"MO, NSC","clear, cold",,,
COS-TRI,2019-02-08,915,7.26,75.8,114.5,74,0.05,87.8,10.58,8.53,13.67,2.78,0.54,,"MO, GS",partly cloudy.,,,
COS-TRI,2019-02-09,725,7.81,78.2,116.5,76,0.05,86.9,10.3,8.75,11.75,2.93,0.57,,"NC,GS",clear.,,,
COS-TRI,2019-02-13,800,7.405,80.6,121.4,79,0.06,88.8,10.66,8.64,14.3,3.05,0.53,,"NC, GS",rainy,,,
WENDELS,2019-02-13,710,7.312,81.7,123.3,80,0.06,87.9,10.57,8.99,14.58,2.92,0.46,,"NC, GS",rainy,,,
COS-BEACH,2019-02-14,1117,9.98,82.5,115.7,75,0.05,77.5,8.75,7.38,23.6,4.05,0.58,,MO LT,"partly cloudy, slight breeze then rainy & wind picked up",,,
MOK-US-RR,2019-02-14,1021,11.327,31.6,42.9,28,0.02,92.6,10.13,7.66,14.65,1.71,0.39,,MO LT,"partly cloudy, slight breeze then rainy & wind picked up",,WaterQualityDataSheetScans\Outside_Tract\02_14_2019.pdf,
COS-TRI,2019-02-24,745,6.955,68.7,104.9,68,0.05,87.3,10.6,9.84,14.4,2.26,0.04,,"MO, NC",cloudy,,,
WENDELS,2019-02-24,1005,6.652,67.8,104.4,68,0.05,93.7,11.47,8.93,11.36,1.32,0.43,,"MO, NC",cloudy,,,
COS-BEACH,2019-02-27,1115,9.862,84.6,119,77,0.06,79.1,8.92,9.48,22.49,3.86,0.54,,"NC, LT","cloudy, light rain","pH off. No isotope @ Moke, too muddy",,
MOK-US-RR,2019-02-27,1040,10.196,32,44.7,29,0.02,95.2,10.69,9.94,51.97,1.34,0.47,,"NC, LT","cloudy, light rain","pH off. No isotope @ Moke, too muddy",WaterQualityDataSheetScans\Outside_Tract\02_27_2019.pdf,
BABYMARSH,2019-02-28,930,10.16667,,,,,,,,,,,,,cloudy,"forgot ysi, temperature: 50.3 F according to Fish Finder",,Y
COS-BEACH,2019-03-07,1250,11.194,54.2,73.7,48,0.03,87.4,9.59,7.28,14.98,0.28,0.2,,"NC, NSC",cloudy,,,Y
COS-TRI,2019-03-07,920,10.942,53.6,73.3,48,0.03,84.6,9.35,7.41,16.62,1.85,0.35,,"NC, NSC",cloudy,fat fish at cos tri,,Y
MOK-US-RR,2019-03-07,1205,11.864,33,44,29,0.02,94.8,10.25,7.7,12.52,0.25,0.21,,"NC, NSC",cloudy,,,Y
WENDELS,2019-03-07,1020,10.948,52.6,71.9,47,0.03,91.5,10.1,7.46,24.2,1.79,0.34,,"NC, NSC",cloudy,,,Y
BABYMARSH,2019-03-08,,11.226,159.5,217.6,142,0.1,83.5,9.19,7.76,133.25,2.9,0.59,,"CJ, NC, ML",clear,,,Y
KNAGGS-F6,2019-03-13,1340,13.278,281.1,362.2,235,0.17,88.6,9.27,7.94,73.83,7.71,0.76,,NC,windy,,,Y
BABYMARSH,2019-03-14,1500,12.007,239,319.2,206,0.15,87.9,9.45,7.9,77.39,4.38,0.86,,"MO, NC, ML",sunny,,,Y
COS-BEACH,2019-03-14,1120,9.9959,62.9,88.2,57,0.04,81.1,9.17,7.27,8.82,1.07,0.33,,"MO, NC, ML",sunny,,,Y
COS-TRI,2019-03-14,800,8.874,60.2,87,57,0.04,88.2,10.23,7.79,11.57,1.16,0.25,,"MO, NC, ML",sunny,,,Y
MOK-US-RR,2019-03-14,1045,10.016,34.5,48.3,31,0.02,97.8,11.04,7.39,12.54,0.38,0.26,,"MO, NC, ML",sunny,,,Y
WENDELS,2019-03-14,910,8.717,60.1,87.2,57,0.04,91.6,10.66,7.53,14.9,1.27,0.38,,"MO, NC, ML",sunny,,,Y
COS-BEACH,2019-03-20,1425,15.183,87.8,108.1,70,0.05,69.7,6.97,7.21,6.31,3.27,0.38,,"NC, ML, RP",cloudy/some rain,,,Y
