PanID,Site,Date_collected,Volume_Filtered_ml,Pan_g,Pan + Filter (g),Pan + Dried (g),Pan+Ash (g),Ash_wt_g,VSS_gL,VSS_mgL,POC_mgL,DI + Dried (g),,,,,,,,,
13,Blank,,,1.3175,1.4284,1.4284,1.4284,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,Volatile Suspended Solids (VSS) Data,,,,,,* estimated that 50% of VSS is carbon
17,COS-BEACH,2018-12-10,750,1.2992,1.409,1.4145,1.4131,0.0014,0.001866667,1.866666667,0.933333333,,,,,,,,,,
22,COS-BEACH,2018-12-10,750,1.3148,1.4266,1.4331,1.4318,0.0013,0.001733333,1.733333333,0.866666667,,,,,,,,,,
14,COS-BEACH,2018-12-10,750,1.3081,1.4189,1.4255,1.4239,0.0016,0.002133333,2.133333333,1.066666667,,,,,,,,,,
13,COS-BEACH,2018-12-20,300,1.3166,1.4287,1.4351,1.4326,0.0025,0.008333333,8.333333333,4.166666667,,,,,,,,,,
14,COS-BEACH,2018-12-20,310,1.3073,1.4193,1.426,1.4232,0.0028,0.009032258,9.032258065,4.516129032,,,,,,,,,,
17,COS-BEACH,2018-12-20,320,1.2982,1.4114,1.4179,1.4155,0.0024,0.0075,7.5,3.75,,,,,,,,,,
22,COS-BEACH,2019-01-04,770,1.3166,1.4287,1.4351,1.4326,0.0025,0.003246753,3.246753247,1.623376623,,,,,,,,,,
4,COS-BEACH,2019-01-04,655,1.3098,1.423,1.4293,1.4272,0.0021,0.003206107,3.20610687,1.603053435,,,,,,,,,,
20,COS-BEACH,2019-01-04,700,1.3108,1.4235,1.4301,1.4278,0.0023,0.003285714,3.285714286,1.642857143,,,,,,,,,,
23,MOK-US-RR,2019-01-04,2000,1.3071,1.4194,1.4226,1.4212,0.0014,0.0007,0.7,0.35,,,,,,,,,,
12,MOK-US-RR,2019-01-04,2000,-,1.4155,1.419,1.4176,0.0014,0.0007,0.7,0.35,,,,,,,,,,
3,MOK-US-RR,2019-01-04,2000,-,1.3987,1.4022,1.4009,0.0013,0.00065,0.65,0.325,,,,,,,,,,
18,KNAGGS,2019-01-08,575,-,1.4121,1.428,1.4257,0.0023,0.004,4,2,,,,,,,,,,
10,KNAGGS,2019-01-08,460,-,1.4018,1.4146,1.4127,0.0019,0.004130435,4.130434783,2.065217391,,,,,,,,,,
13,KNAGGS,2019-01-08,480,-,1.4278,1.4414,1.4396,0.0018,0.00375,3.75,1.875,,,,,,,,,,
21,KNAGGS,2019-01-17,100,-,1.4154,1.4561,1.4512,0.0049,0.049,49,24.5,,,,,,,,,,
18,KNAGGS,2019-01-17,110,1.2988,1.4099,1.4488,1.4442,0.0046,0.041818182,41.81818182,20.90909091,,,,,,,,,,
14,KNAGGS,2019-01-17,110,1.3067,1.4179,1.4568,1.4521,0.0047,0.042727273,42.72727273,21.36363636,,,,,,,,,,
17,XSSAC,2019-01-17,250,1.2974,1.4086,1.4325,1.43,0.0025,0.01,10,5,,,,,,,,,,
2,XSSAC,2019-01-17,215,1.2736,1.3849,1.4009,1.399,0.0019,0.008837209,8.837209302,4.418604651,,,,,,,,,,
3,XSSAC,2019-01-17,200,1.2873,1.3986,1.419,1.4169,0.0021,0.0105,10.5,5.25,,,,,,,,,,
22,COS-TRI,2019-01-17,275,1.3134,1.4251,1.4299,1.4312,-0.0013,-0.004727273,-4.727272727,-2.363636364,,,,,,,,,,
20,COS-TRI,2019-01-17,300,1.3103,1.4217,1.431,1.4283,0.0027,0.009,9,4.5,,,,,,,,,,
23,COS-TRI,2019-01-17,350,1.3068,1.4179,1.4298,1.4263,0.0035,0.01,10,5,,,,,,,,,,
13,MOK-US-RR,2019-01-17,1000,1.3175,1.4279,1.4388,1.437,0.0018,0.0018,1.8,0.9,,,,,,,,,,
10,MOK-US-RR,2019-01-17,1000,1.3092,1.4016,1.412,1.4101,0.0019,0.0019,1.9,0.95,,,,,,,,,,
24,MOK-US-RR,2019-01-17,1000,1.2948,1.4064,1.4181,1.4162,0.0019,0.0019,1.9,0.95,,,,,,,,,,
25,COS-BEACH,2019-01-17,430,1.3004,1.4124,1.4231,1.4209,0.0022,0.005116279,5.11627907,2.558139535,,,,,,,,,,
9,COS-BEACH,2019-01-17,360,1.2905,1.4008,1.4099,1.4078,0.0021,0.005833333,5.833333333,2.916666667,,,,,,,,,,
19,COS-BEACH,2019-01-17,400,1.3008,1.414,1.4227,1.4207,0.002,0.005,5,2.5,,,,,,,,,,
7,XSSAC,2019-01-28,390,1.2764,1.3894,1.413,1.4111,0.0019,0.004871795,4.871794872,2.435897436,,,,,,,,,,
16,XSSAC,2019-01-28,375,1.305,1.4166,1.4343,1.4325,0.0018,0.0048,4.8,2.4,,,,,,,,,,
8,XSSAC,2019-01-28,370,1.294,1.4059,1.4258,1.4239,0.0019,0.005135135,5.135135135,2.567567568,,,,,,,,,,
33,KNAGGS,2019-01-29,350,1.2868,1.3962,1.4143,1.4117,0.0026,0.007428571,7.428571429,3.714285714,,,,,,,,,,
34,KNAGGS,2019-01-29,350,1.3083,1.4194,1.4387,1.4357,0.003,0.008571429,8.571428571,4.285714286,,,,,,,,,,
35,KNAGGS,2019-01-29,350,1.3101,1.422,1.4431,1.4398,0.0033,0.009428571,9.428571429,4.714285714,,,,,,,,,,
2,COS-BEACH,2019-01-31,540,1.2742,1.3863,1.3974,1.395,0.0024,0.004444444,4.444444444,2.222222222,,,,,,,,,,
3,COS-BEACH,2019-01-31,450,1.2874,1.4,1.4102,1.4078,0.0024,0.005333333,5.333333333,2.666666667,,,,,,,,,,
