Site,Date,Method,Throws,Rope Length_m,FlowMeterBegin,FlowMeterEnd,MeshSize_Microns,RingSize_cm,Magnification,Ocular Units,Phylum,Class,Subclass,Order,Family,Genus,Species,Life Stage,Abundance,Size,Size with Tail,Notes,Qced
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Calanoida,Pseudodiaptoidae,Pseudodiaptoidae,Pseudodiaptoidae,copepidite,1,47,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Calanoida,Pseudodiaptoidae,Pseudodiaptoidae,Pseudodiaptoidae,copepidite,1,42,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Calanoida,Pseudodiaptoidae,Pseudodiaptoidae,Pseudodiaptoidae,copepidite,1,44.5,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops,copepidite,1,13,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops,copepidite,1,24,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops,copepidite,1,20,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops,copepidite,1,17,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops,copepidite,1,15,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops,copepidite,1,27,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops,copepidite,1,11,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops,copepidite,1,8,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops,copepidite,1,18,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops,copepidite,1,11,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops,copepidite,1,8,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops,copepidite,1,23,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops,copepidite,1,14,,,
