"Plot Title: 20568278"
"#","Date Time, GMT-07:00","DO conc, mg/L","Temp, °C","Coupler Attached","Coupler Detached","Host Connected","Stopped","End Of File"
1,03/27/19 12:00:00 PM,7.53,15.40,,,,,
2,03/27/19 12:15:00 PM,7.08,15.26,,,,,
3,03/27/19 12:30:00 PM,6.66,15.08,,,,,
4,03/27/19 12:45:00 PM,6.55,15.00,,,,,
5,03/27/19 01:00:00 PM,6.42,14.94,,,,,
6,03/27/19 01:15:00 PM,6.02,14.92,,,,,
7,03/27/19 01:30:00 PM,5.91,14.88,,,,,
8,03/27/19 01:45:00 PM,6.39,14.98,,,,,
9,03/27/19 02:00:00 PM,6.17,14.98,,,,,
10,03/27/19 02:15:00 PM,6.72,15.08,,,,,
11,03/27/19 02:30:00 PM,6.82,15.14,,,,,
12,03/27/19 02:45:00 PM,6.86,15.12,,,,,
13,03/27/19 03:00:00 PM,6.80,15.10,,,,,
14,03/27/19 03:15:00 PM,6.74,15.10,,,,,
15,03/27/19 03:30:00 PM,6.60,15.10,,,,,
16,03/27/19 03:45:00 PM,6.59,15.12,,,,,
17,03/27/19 04:00:00 PM,7.03,15.36,,,,,
18,03/27/19 04:15:00 PM,6.86,15.70,,,,,
19,03/27/19 04:30:00 PM,6.90,15.82,,,,,
20,03/27/19 04:45:00 PM,6.93,15.82,,,,,
21,03/27/19 05:00:00 PM,7.05,15.84,,,,,
22,03/27/19 05:15:00 PM,7.12,15.90,,,,,
23,03/27/19 05:30:00 PM,7.10,15.96,,,,,
24,03/27/19 05:45:00 PM,7.14,16.02,,,,,
25,03/27/19 06:00:00 PM,7.22,16.10,,,,,
26,03/27/19 06:15:00 PM,7.11,16.42,,,,,
27,03/27/19 06:30:00 PM,6.91,16.68,,,,,
28,03/27/19 06:45:00 PM,6.72,16.72,,,,,
29,03/27/19 07:00:00 PM,9.77,16.20,,,,,
30,03/27/19 07:15:00 PM,10.06,15.00,,,,,
31,03/27/19 07:30:00 PM,10.47,13.70,,,,,
32,03/27/19 07:45:00 PM,10.88,12.88,,,,,
33,03/27/19 08:00:00 PM,7.24,12.36,,,,,
34,03/27/19 08:15:00 PM,6.74,13.04,,,,,
35,03/27/19 08:30:00 PM,6.47,13.66,,,,,
36,03/27/19 08:45:00 PM,6.38,13.96,,,,,
37,03/27/19 09:00:00 PM,6.75,14.06,,,,,
38,03/27/19 09:15:00 PM,6.84,14.20,,,,,
39,03/27/19 09:30:00 PM,6.92,14.30,,,,,
40,03/27/19 09:45:00 PM,6.90,14.36,,,,,
41,03/27/19 10:00:00 PM,6.89,14.42,,,,,
42,03/27/19 10:15:00 PM,7.10,14.46,,,,,
43,03/27/19 10:30:00 PM,7.12,14.58,,,,,
44,03/27/19 10:45:00 PM,7.30,14.68,,,,,
45,03/27/19 11:00:00 PM,8.15,14.90,,,,,
