"Plot Title: 20568251"
"#","Date Time, GMT-08:00","DO conc, mg/L (LGR S/N: 20568251, SEN S/N: 20568251)","Temp, °C (LGR S/N: 20568251, SEN S/N: 20568251)","Coupler Attached (LGR S/N: 20568251)","Host Connected (LGR S/N: 20568251)","Coupler Detached (LGR S/N: 20568251)","Stopped (LGR S/N: 20568251)","End Of File (LGR S/N: 20568251)"
1,12/09/19 11:15:00 AM,5.23,23.90,,,,,
2,12/09/19 11:30:00 AM,8.36,23.34,,,,,
3,12/09/19 11:45:00 AM,8.74,21.20,,,,,
4,12/09/19 12:00:00 PM,9.52,17.26,,,,,
5,12/09/19 12:15:00 PM,10.05,15.18,,,,,
6,12/09/19 12:30:00 PM,10.06,15.52,,,,,
7,12/09/19 12:45:00 PM,9.81,16.76,,,,,
8,12/09/19 01:00:00 PM,9.71,17.08,,,,,
9,12/09/19 01:15:00 PM,9.56,17.72,,,,,
10,12/09/19 01:30:00 PM,9.49,17.96,,,,,
11,12/09/19 01:45:00 PM,9.37,18.50,,,,,
12,12/09/19 02:00:00 PM,9.51,17.54,,,,,
13,12/09/19 02:15:00 PM,9.74,16.66,,,,,
14,12/09/19 02:30:00 PM,9.86,16.26,,,,,
15,12/09/19 02:45:00 PM,9.80,16.72,,,,,
16,12/09/19 03:00:00 PM,9.64,17.34,,,,,
17,12/09/19 03:15:00 PM,9.49,17.82,,,,,
18,12/09/19 03:30:00 PM,9.39,18.24,,,,,
19,12/09/19 03:45:00 PM,9.24,18.92,,,,,
20,12/09/19 04:00:00 PM,9.04,20.20,,,,,
21,12/09/19 04:15:00 PM,8.93,20.84,,,,,
22,12/09/19 04:30:00 PM,8.86,21.28,,,,,
23,12/09/19 04:45:00 PM,8.81,21.58,,,,,
24,12/09/19 05:00:00 PM,8.77,21.84,,,,,
25,12/09/19 05:15:00 PM,8.74,21.98,,,,,
26,12/09/19 05:30:00 PM,8.73,22.08,,,,,
27,12/09/19 05:45:00 PM,8.72,22.14,,,,,
28,12/09/19 06:00:00 PM,8.70,22.20,,,,,
29,12/09/19 06:15:00 PM,8.70,22.22,,,,,
