"Plot Title: 20568252"
"#","Date Time, GMT-07:00","DO conc, mg/L","Temp, °C","Coupler Detached","Coupler Attached","Host Connected","Stopped","End Of File"
1,03/13/19 02:46:50 PM,8.41,23.10,,,,,
2,03/13/19 02:47:08 PM,,,Logged,,,,
3,03/13/19 03:01:50 PM,8.46,23.18,,,,,
4,03/13/19 03:16:50 PM,8.52,22.96,,,,,
5,03/13/19 03:31:50 PM,8.57,22.82,,,,,
6,03/13/19 03:46:50 PM,8.61,22.70,,,,,
7,03/13/19 04:01:50 PM,8.63,22.64,,,,,
8,03/13/19 04:16:50 PM,8.64,22.58,,,,,
9,03/13/19 04:31:50 PM,8.65,22.56,,,,,
10,03/13/19 04:46:50 PM,8.66,22.52,,,,,
11,03/13/19 05:01:50 PM,8.67,22.52,,,,,
12,03/13/19 05:16:50 PM,8.68,22.48,,,,,
13,03/13/19 05:31:50 PM,8.69,22.44,,,,,
14,03/13/19 05:46:50 PM,8.69,22.42,,,,,
15,03/13/19 06:01:50 PM,8.69,22.40,,,,,
16,03/13/19 06:16:50 PM,8.70,22.36,,,,,
17,03/13/19 06:31:50 PM,8.72,22.34,,,,,
18,03/13/19 06:46:50 PM,8.72,22.32,,,,,
19,03/13/19 07:01:50 PM,8.73,22.30,,,,,
20,03/13/19 07:16:50 PM,8.73,22.30,,,,,
21,03/13/19 07:31:50 PM,8.73,22.28,,,,,
22,03/13/19 07:46:50 PM,8.74,22.26,,,,,
23,03/13/19 08:01:50 PM,8.74,22.26,,,,,
24,03/13/19 08:16:50 PM,8.74,22.24,,,,,
25,03/13/19 08:31:50 PM,8.74,22.22,,,,,
26,03/13/19 08:46:50 PM,8.74,22.22,,,,,
27,03/13/19 09:01:50 PM,8.75,22.20,,,,,
28,03/13/19 09:16:50 PM,8.76,22.18,,,,,
29,03/13/19 09:31:50 PM,8.76,22.18,,,,,
30,03/13/19 09:46:50 PM,8.76,22.16,,,,,
31,03/13/19 10:01:50 PM,8.77,22.14,,,,,
32,03/13/19 10:16:50 PM,8.76,22.12,,,,,
