"Plot Title: 20568252"
"#","Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 20568252, SEN S/N: 20568252)","Temp, °C (LGR S/N: 20568252, SEN S/N: 20568252)","Expired Sensor Cap (LGR S/N: 20568252)","End Of File (LGR S/N: 20568252)"
1,08/20/19 01:00:00 PM,7.18,23.24,,
2,08/20/19 01:15:00 PM,7.54,23.36,,
3,08/20/19 01:30:00 PM,7.63,23.50,,
4,08/20/19 01:45:00 PM,7.71,23.66,,
5,08/20/19 02:00:00 PM,7.74,23.82,,
6,08/20/19 02:15:00 PM,7.82,24.10,,
7,08/20/19 02:30:00 PM,7.80,24.40,,
8,08/20/19 02:45:00 PM,7.68,24.62,,
9,08/20/19 03:00:00 PM,7.69,24.76,,
10,08/20/19 03:15:00 PM,7.73,24.88,,
11,08/20/19 03:30:00 PM,7.93,25.12,,
12,08/20/19 03:45:00 PM,8.09,25.40,,
13,08/20/19 04:00:00 PM,7.94,25.54,,
14,08/20/19 04:15:00 PM,7.89,25.68,,
15,08/20/19 04:30:00 PM,7.97,25.82,,
16,08/20/19 04:45:00 PM,7.99,26.00,,
17,08/20/19 05:00:00 PM,8.04,26.18,,
18,08/20/19 05:15:00 PM,8.10,26.42,,
19,08/20/19 05:30:00 PM,8.29,26.54,,
20,08/20/19 05:45:00 PM,8.37,26.42,,
21,08/20/19 06:00:00 PM,8.33,26.46,,
22,08/20/19 06:15:00 PM,8.25,26.56,,
23,08/20/19 06:30:00 PM,8.15,26.42,,
24,08/20/19 06:45:00 PM,8.13,26.12,,
25,08/20/19 07:00:00 PM,8.19,25.80,,
26,08/20/19 07:15:00 PM,8.16,25.50,,
27,08/20/19 07:30:00 PM,8.06,25.20,,
28,08/20/19 07:45:00 PM,8.18,25.00,,
29,08/20/19 08:00:00 PM,8.10,24.86,,
30,08/20/19 08:15:00 PM,7.90,24.72,,
31,08/20/19 08:30:00 PM,7.88,24.58,,
32,08/20/19 08:45:00 PM,7.88,24.46,,
33,08/20/19 09:00:00 PM,7.81,24.34,,
34,08/20/19 09:15:00 PM,7.92,24.24,,
35,08/20/19 09:30:00 PM,7.62,24.14,,
36,08/20/19 09:45:00 PM,7.50,24.00,,
37,08/20/19 10:00:00 PM,7.62,23.92,,
38,08/20/19 10:15:00 PM,7.51,23.84,,
