"Plot Title: 20568277"
"#","Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 20568277, SEN S/N: 20568277)","Temp, °C (LGR S/N: 20568277, SEN S/N: 20568277)"
1,03/25/19 12:00:00 PM,8.73,21.92
2,03/25/19 12:15:00 PM,8.74,21.94
3,03/25/19 12:30:00 PM,8.73,21.94
4,03/25/19 12:45:00 PM,8.73,21.94
5,03/25/19 01:00:00 PM,8.72,21.96
6,03/25/19 01:15:00 PM,8.73,21.96
7,03/25/19 01:30:00 PM,8.72,21.98
8,03/25/19 01:45:00 PM,8.71,22.02
9,03/25/19 02:00:00 PM,8.70,22.04
10,03/25/19 02:15:00 PM,8.69,22.08
11,03/25/19 02:30:00 PM,8.69,22.12
12,03/25/19 02:45:00 PM,8.68,22.14
13,03/25/19 03:00:00 PM,8.68,22.18
14,03/25/19 03:15:00 PM,8.68,22.22
15,03/25/19 03:30:00 PM,8.67,22.26
16,03/25/19 03:45:00 PM,8.66,22.32
17,03/25/19 04:00:00 PM,8.65,22.36
18,03/25/19 04:15:00 PM,8.66,22.38
19,03/25/19 04:30:00 PM,8.64,22.40
20,03/25/19 04:45:00 PM,8.64,22.42
21,03/25/19 05:00:00 PM,8.65,22.42
22,03/25/19 05:15:00 PM,8.65,22.42
23,03/25/19 05:30:00 PM,8.65,22.42
24,03/25/19 05:45:00 PM,8.65,22.42
25,03/25/19 06:00:00 PM,8.65,22.40
26,03/25/19 06:15:00 PM,8.65,22.36
27,03/25/19 06:30:00 PM,8.67,22.32
28,03/25/19 06:45:00 PM,8.67,22.30
29,03/25/19 07:00:00 PM,8.68,22.26
30,03/25/19 07:15:00 PM,8.68,22.24
31,03/25/19 07:30:00 PM,8.69,22.22
32,03/25/19 07:45:00 PM,8.69,22.20
33,03/25/19 08:00:00 PM,8.69,22.16
34,03/25/19 08:15:00 PM,8.71,22.14
35,03/25/19 08:30:00 PM,8.71,22.10
36,03/25/19 08:45:00 PM,8.72,22.08
37,03/25/19 09:00:00 PM,8.72,22.08
38,03/25/19 09:15:00 PM,8.72,22.06
39,03/25/19 09:30:00 PM,8.73,22.06
40,03/25/19 09:45:00 PM,8.72,22.04
41,03/25/19 10:00:00 PM,8.73,22.02
42,03/25/19 10:15:00 PM,8.73,22.02
43,03/25/19 10:30:00 PM,8.73,22.02
44,03/25/19 10:45:00 PM,8.72,22.00
45,03/25/19 11:00:00 PM,8.73,22.00
46,03/25/19 11:15:00 PM,8.73,21.98
47,03/25/19 11:30:00 PM,8.74,21.98
48,03/25/19 11:45:00 PM,8.74,21.98
49,03/26/19 12:00:00 AM,8.75,21.96
50,03/26/19 12:15:00 AM,8.75,21.96
51,03/26/19 12:30:00 AM,8.74,21.96
52,03/26/19 12:45:00 AM,8.74,21.94
53,03/26/19 01:00:00 AM,8.75,21.94
54,03/26/19 01:15:00 AM,8.75,21.92
55,03/26/19 01:30:00 AM,8.75,21.92
56,03/26/19 01:45:00 AM,8.75,21.92
57,03/26/19 02:00:00 AM,8.75,21.90
58,03/26/19 02:15:00 AM,8.76,21.90
59,03/26/19 02:30:00 AM,8.76,21.88
60,03/26/19 02:45:00 AM,8.76,21.88
61,03/26/19 03:00:00 AM,8.77,21.86
62,03/26/19 03:15:00 AM,8.76,21.86
63,03/26/19 03:30:00 AM,8.76,21.84
64,03/26/19 03:45:00 AM,8.76,21.84
65,03/26/19 04:00:00 AM,8.76,21.82
66,03/26/19 04:15:00 AM,8.77,21.82
67,03/26/19 04:30:00 AM,8.76,21.82
68,03/26/19 04:45:00 AM,8.76,21.80
69,03/26/19 05:00:00 AM,8.77,21.78
70,03/26/19 05:15:00 AM,8.76,21.78
71,03/26/19 05:30:00 AM,8.77,21.78
72,03/26/19 05:45:00 AM,8.77,21.76
73,03/26/19 06:00:00 AM,8.78,21.76
74,03/26/19 06:15:00 AM,8.78,21.74
75,03/26/19 06:30:00 AM,8.78,21.74
76,03/26/19 06:45:00 AM,8.78,21.72
77,03/26/19 07:00:00 AM,8.78,21.72
78,03/26/19 07:15:00 AM,8.78,21.72
79,03/26/19 07:30:00 AM,8.79,21.70
80,03/26/19 07:45:00 AM,8.78,21.70
81,03/26/19 08:00:00 AM,8.78,21.70
82,03/26/19 08:15:00 AM,8.78,21.70
83,03/26/19 08:30:00 AM,8.78,21.74
84,03/26/19 08:45:00 AM,8.77,21.76
