"Plot Title: 20568277"
"#","Date Time, GMT-08:00","DO conc, mg/L (LGR S/N: 20568277, SEN S/N: 20568277)","Temp, °C (LGR S/N: 20568277, SEN S/N: 20568277)","Coupler Attached (LGR S/N: 20568277)","Host Connected (LGR S/N: 20568277)","Stopped (LGR S/N: 20568277)","End Of File (LGR S/N: 20568277)"
1,01/24/20 01:00:00 PM,8.98,19.46,,,,
2,01/24/20 01:15:00 PM,8.38,15.18,,,,
3,01/24/20 01:30:00 PM,9.08,13.24,,,,
4,01/24/20 01:45:00 PM,9.22,12.80,,,,
5,01/24/20 02:00:00 PM,9.66,12.78,,,,
6,01/24/20 02:15:00 PM,9.80,12.86,,,,
7,01/24/20 02:30:00 PM,9.85,12.96,,,,
8,01/24/20 02:45:00 PM,9.81,13.08,,,,
9,01/24/20 03:00:00 PM,9.82,13.10,,,,
10,01/24/20 03:15:00 PM,9.77,13.16,,,,
11,01/24/20 03:30:00 PM,9.89,13.18,,,,
12,01/24/20 03:45:00 PM,9.99,13.20,,,,
13,01/24/20 04:00:00 PM,10.10,13.20,,,,
14,01/24/20 04:15:00 PM,10.14,13.18,,,,
15,01/24/20 04:30:00 PM,10.14,13.16,,,,
16,01/24/20 04:45:00 PM,10.09,13.14,,,,
17,01/24/20 05:00:00 PM,10.00,13.10,,,,
18,01/24/20 05:15:00 PM,10.02,13.06,,,,
19,01/24/20 05:30:00 PM,10.08,13.02,,,,
20,01/24/20 05:45:00 PM,10.11,12.98,,,,
21,01/24/20 06:00:00 PM,10.17,12.96,,,,
22,01/24/20 06:15:00 PM,10.25,12.92,,,,
23,01/24/20 06:30:00 PM,10.34,12.90,,,,
24,01/24/20 06:45:00 PM,10.56,12.88,,,,
25,01/24/20 07:00:00 PM,10.65,12.88,,,,
26,01/24/20 07:15:00 PM,10.82,12.86,,,,
27,01/24/20 07:30:00 PM,10.93,12.84,,,,
28,01/24/20 07:45:00 PM,11.01,12.84,,,,
29,01/24/20 08:00:00 PM,11.22,12.82,,,,
30,01/24/20 08:15:00 PM,11.46,12.82,,,,
31,01/24/20 08:30:00 PM,11.58,12.80,,,,
32,01/24/20 08:45:00 PM,11.73,12.80,,,,
33,01/24/20 09:00:00 PM,11.92,12.78,,,,
34,01/24/20 09:15:00 PM,12.07,12.78,,,,
35,01/24/20 09:30:00 PM,12.17,12.76,,,,
36,01/24/20 09:45:00 PM,12.25,12.76,,,,
37,01/24/20 10:00:00 PM,12.34,12.74,,,,
38,01/24/20 10:15:00 PM,12.32,12.72,,,,
39,01/24/20 10:30:00 PM,12.22,12.70,,,,
40,01/24/20 10:45:00 PM,12.27,12.68,,,,
41,01/24/20 11:00:00 PM,12.31,12.68,,,,
42,01/24/20 11:15:00 PM,12.22,12.66,,,,
43,01/24/20 11:30:00 PM,12.23,12.64,,,,
44,01/24/20 11:45:00 PM,12.21,12.62,,,,
45,01/25/20 12:00:00 AM,12.15,12.60,,,,
46,01/25/20 12:15:00 AM,12.15,12.58,,,,
47,01/25/20 12:30:00 AM,12.11,12.56,,,,
48,01/25/20 12:45:00 AM,12.02,12.54,,,,
49,01/25/20 01:00:00 AM,12.01,12.52,,,,
50,01/25/20 01:15:00 AM,11.95,12.52,,,,
51,01/25/20 01:30:00 AM,11.93,12.50,,,,
52,01/25/20 01:45:00 AM,11.86,12.48,,,,
53,01/25/20 02:00:00 AM,11.87,12.46,,,,
54,01/25/20 02:15:00 AM,11.85,12.46,,,,
55,01/25/20 02:30:00 AM,11.79,12.44,,,,
56,01/25/20 02:45:00 AM,11.75,12.42,,,,
57,01/25/20 03:00:00 AM,11.76,12.42,,,,
58,01/25/20 03:15:00 AM,11.69,12.40,,,,
59,01/25/20 03:30:00 AM,11.63,12.40,,,,
60,01/25/20 03:45:00 AM,11.68,12.36,,,,
61,01/25/20 04:00:00 AM,11.67,12.36,,,,
62,01/25/20 04:15:00 AM,11.60,12.34,,,,
63,01/25/20 04:30:00 AM,11.55,12.32,,,,
64,01/25/20 04:45:00 AM,11.55,12.32,,,,
65,01/25/20 05:00:00 AM,11.49,12.30,,,,
66,01/25/20 05:15:00 AM,11.42,12.26,,,,
67,01/25/20 05:30:00 AM,11.45,12.24,,,,
68,01/25/20 05:45:00 AM,11.46,12.20,,,,
69,01/25/20 06:00:00 AM,11.42,12.20,,,,
70,01/25/20 06:15:00 AM,11.38,12.18,,,,
71,01/25/20 06:30:00 AM,11.38,12.16,,,,
72,01/25/20 06:45:00 AM,11.37,12.14,,,,
73,01/25/20 07:00:00 AM,11.30,12.14,,,,
74,01/25/20 07:15:00 AM,11.22,12.12,,,,
75,01/25/20 07:30:00 AM,11.19,12.10,,,,
76,01/25/20 07:45:00 AM,11.17,12.10,,,,
77,01/25/20 08:00:00 AM,11.08,12.10,,,,
78,01/25/20 08:15:00 AM,10.97,12.10,,,,
79,01/25/20 08:30:00 AM,10.98,12.10,,,,
80,01/25/20 08:45:00 AM,10.98,12.12,,,,
81,01/25/20 09:00:00 AM,10.97,12.16,,,,
82,01/25/20 09:15:00 AM,10.92,12.18,,,,
83,01/25/20 09:30:00 AM,10.85,12.18,,,,
84,01/25/20 09:45:00 AM,10.87,12.18,,,,
85,01/25/20 10:00:00 AM,10.87,12.20,,,,
86,01/25/20 10:15:00 AM,10.87,12.26,,,,
87,01/25/20 10:30:00 AM,10.70,12.26,,,,
88,01/25/20 10:45:00 AM,10.66,12.34,,,,
89,01/25/20 11:00:00 AM,10.59,12.54,,,,
90,01/25/20 11:15:00 AM,10.60,12.58,,,,
91,01/25/20 11:30:00 AM,10.65,12.64,,,,
92,01/25/20 11:45:00 AM,10.85,12.72,,,,
93,01/25/20 12:00:00 PM,10.92,12.78,,,,
94,01/25/20 12:15:00 PM,10.86,12.82,,,,
95,01/25/20 12:30:00 PM,11.21,12.90,,,,
96,01/25/20 12:45:00 PM,11.45,12.98,,,,
97,01/25/20 01:00:00 PM,11.46,13.00,,,,
