"Plot Title: 20568254"
"#","Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 20568254, SEN S/N: 20568254)","Temp, °C (LGR S/N: 20568254, SEN S/N: 20568254)","Expired Sensor Cap (LGR S/N: 20568254)","End Of File (LGR S/N: 20568254)"
1,09/09/19 10:00:00 AM,7.77,25.62,,
2,09/09/19 10:15:00 AM,7.55,23.10,,
3,09/09/19 10:30:00 AM,8.37,19.88,,
4,09/09/19 10:45:00 AM,8.50,19.48,,
5,09/09/19 11:00:00 AM,8.53,19.40,,
6,09/09/19 11:15:00 AM,8.54,19.40,,
7,09/09/19 11:30:00 AM,8.54,19.40,,
8,09/09/19 11:45:00 AM,8.56,19.42,,
9,09/09/19 12:00:00 PM,8.55,19.42,,
10,09/09/19 12:15:00 PM,8.56,19.44,,
11,09/09/19 12:30:00 PM,8.57,19.46,,
12,09/09/19 12:45:00 PM,8.58,19.46,,
13,09/09/19 01:00:00 PM,8.58,19.48,,
14,09/09/19 01:15:00 PM,8.59,19.50,,
15,09/09/19 01:30:00 PM,8.60,19.52,,
16,09/09/19 01:45:00 PM,8.60,19.54,,
17,09/09/19 02:00:00 PM,8.60,19.56,,
18,09/09/19 02:15:00 PM,8.59,19.58,,
19,09/09/19 02:30:00 PM,8.60,19.60,,
20,09/09/19 02:45:00 PM,8.61,19.62,,
21,09/09/19 03:00:00 PM,8.61,19.64,,
22,09/09/19 03:15:00 PM,8.61,19.66,,
23,09/09/19 03:30:00 PM,8.62,19.68,,
24,09/09/19 03:45:00 PM,8.62,19.70,,
25,09/09/19 04:00:00 PM,8.62,19.72,,
26,09/09/19 04:15:00 PM,8.62,19.72,,
27,09/09/19 04:30:00 PM,8.63,19.74,,
28,09/09/19 04:45:00 PM,8.63,19.76,,
29,09/09/19 05:00:00 PM,8.64,19.74,,
30,09/09/19 05:15:00 PM,8.65,19.74,,
31,09/09/19 05:30:00 PM,8.64,19.76,,
32,09/09/19 05:45:00 PM,8.65,19.74,,
33,09/09/19 06:00:00 PM,8.65,19.76,,
34,09/09/19 06:15:00 PM,8.67,19.76,,
35,09/09/19 06:30:00 PM,8.67,19.76,,
36,09/09/19 06:45:00 PM,8.67,19.76,,
37,09/09/19 07:00:00 PM,8.67,19.76,,
38,09/09/19 07:15:00 PM,8.68,19.76,,
39,09/09/19 07:30:00 PM,8.67,19.76,,
40,09/09/19 07:45:00 PM,8.67,19.76,,
41,09/09/19 08:00:00 PM,8.68,19.76,,
42,09/09/19 08:15:00 PM,8.67,19.76,,
43,09/09/19 08:30:00 PM,8.67,19.76,,
44,09/09/19 08:45:00 PM,8.67,19.76,,
45,09/09/19 09:00:00 PM,8.67,19.78,,
46,09/09/19 09:15:00 PM,8.65,19.78,,
47,09/09/19 09:30:00 PM,8.66,19.78,,
48,09/09/19 09:45:00 PM,8.65,19.78,,
49,09/09/19 10:00:00 PM,8.65,19.78,,
50,09/09/19 10:15:00 PM,8.66,19.78,,
51,09/09/19 10:30:00 PM,8.66,19.78,,
52,09/09/19 10:45:00 PM,8.65,19.78,,
53,09/09/19 11:00:00 PM,8.65,19.78,,
54,09/09/19 11:15:00 PM,8.64,19.78,,
55,09/09/19 11:30:00 PM,8.65,19.76,,
56,09/09/19 11:45:00 PM,8.64,19.76,,
57,09/10/19 12:00:00 AM,8.64,19.76,,
58,09/10/19 12:15:00 AM,8.64,19.76,,
59,09/10/19 12:30:00 AM,8.64,19.74,,
60,09/10/19 12:45:00 AM,8.64,19.74,,
61,09/10/19 01:00:00 AM,8.63,19.72,,
62,09/10/19 01:15:00 AM,8.64,19.72,,
63,09/10/19 01:30:00 AM,8.63,19.72,,
64,09/10/19 01:45:00 AM,8.63,19.72,,
65,09/10/19 02:00:00 AM,8.62,19.70,,
66,09/10/19 02:15:00 AM,8.62,19.70,,
67,09/10/19 02:30:00 AM,8.62,19.68,,
68,09/10/19 02:45:00 AM,8.61,19.66,,
69,09/10/19 03:00:00 AM,8.61,19.66,,
70,09/10/19 03:15:00 AM,8.60,19.64,,
71,09/10/19 03:30:00 AM,8.61,19.62,,
72,09/10/19 03:45:00 AM,8.59,19.60,,
73,09/10/19 04:00:00 AM,8.58,19.60,,
74,09/10/19 04:15:00 AM,8.56,19.60,,
75,09/10/19 04:30:00 AM,8.55,19.58,,
76,09/10/19 04:45:00 AM,8.53,19.58,,
77,09/10/19 05:00:00 AM,8.52,19.56,,
78,09/10/19 05:15:00 AM,8.51,19.56,,
79,09/10/19 05:30:00 AM,8.50,19.54,,
80,09/10/19 05:45:00 AM,8.49,19.52,,
81,09/10/19 06:00:00 AM,8.48,19.52,,
82,09/10/19 06:15:00 AM,8.48,19.48,,
83,09/10/19 06:30:00 AM,8.48,19.46,,
84,09/10/19 06:45:00 AM,8.49,19.44,,
85,09/10/19 07:00:00 AM,8.49,19.42,,
86,09/10/19 07:15:00 AM,8.48,19.40,,
87,09/10/19 07:30:00 AM,8.50,19.38,,
88,09/10/19 07:45:00 AM,8.50,19.36,,
89,09/10/19 08:00:00 AM,8.50,19.34,,
90,09/10/19 08:15:00 AM,8.50,19.34,,
91,09/10/19 08:30:00 AM,8.52,19.32,,
92,09/10/19 08:45:00 AM,8.52,19.32,,
93,09/10/19 09:00:00 AM,8.53,19.30,,
94,09/10/19 09:15:00 AM,8.52,19.30,,
95,09/10/19 09:30:00 AM,8.53,19.30,,
96,09/10/19 09:45:00 AM,8.55,19.30,,
97,09/10/19 10:00:00 AM,8.55,19.30,,
98,09/10/19 10:15:00 AM,8.54,19.30,,
99,09/10/19 10:30:00 AM,8.55,19.32,,
100,09/10/19 10:45:00 AM,8.54,19.32,,
101,09/10/19 11:00:00 AM,8.54,19.32,,
102,09/10/19 11:15:00 AM,8.54,19.34,,
103,09/10/19 11:30:00 AM,8.55,19.34,,
104,09/10/19 11:45:00 AM,8.55,19.36,,
105,09/10/19 12:00:00 PM,8.56,19.36,,
106,09/10/19 12:15:00 PM,8.55,19.38,,
107,09/10/19 12:30:00 PM,8.56,19.38,,
108,09/10/19 12:45:00 PM,8.56,19.40,,
109,09/10/19 01:00:00 PM,8.58,19.40,,
110,09/10/19 01:15:00 PM,8.59,19.42,,
111,09/10/19 01:30:00 PM,8.58,19.42,,
112,09/10/19 01:45:00 PM,8.59,19.44,,
113,09/10/19 02:00:00 PM,8.59,19.46,,
114,09/10/19 02:15:00 PM,8.61,19.48,,
115,09/10/19 02:30:00 PM,8.61,19.50,,
116,09/10/19 02:45:00 PM,8.61,19.52,,
117,09/10/19 03:00:00 PM,8.61,19.54,,
118,09/10/19 03:15:00 PM,8.62,19.56,,
119,09/10/19 03:30:00 PM,8.62,19.56,,
120,09/10/19 03:45:00 PM,8.62,19.58,,
121,09/10/19 04:00:00 PM,8.64,19.60,,
