SampleID,Site,Date,Type_of_Sample,Filter_Y/N,Volume_Filtered_ml,Repetition,Tin_Capsulse_g,Tin_and_Filter_g,Filter_g,Filter_mg,Zooplankton_SIA_ID_Number,Bulk/Species,Sample_Composition,Fish_Photo_ID,Pit_Tag,Fish_Number,End_Fork_Length_mm,End_Weight_g,Cage_No,Type_of_Veg,Amount_(mg) ,Tray_Name,Well_ID,Analysis,Enriched? ,?13CVPDB (‰),Total C (µg),C Comment,?15NAir (‰),Total N (µg),N Comment,Internal ID,Analysis Number,Mass Spec
Cos Beach 12/10/18#1,CosBeach,2018-12-10,Zooplankton ,N,,,,,,,1,Bulk ,"50% Bosmina, Acanthos",,,,,,,,1.9,DRKCBN 6/17/19,A1,"13C, 15N",No,-28.28955208,797.17473,,8.822935008,184.1474616,,1621205,374714,D
Cos Beach12/26/18 ,CosBeach,2018-12-20,Zooplankton ,N,,,,,,,3,Bulk ,"50% Bosmina, Guts full, method: light source focus",,,,,,,,0.7,DRKCBN 6/17/19,A2,"13C, 15N",No,-29.97947239,105.9740591,,5.924994197,25.62192662,,1621206,374715,D
Knaggs 1/09/19 #4,Knaggs,2019-01-09,Zooplankton ,N,,,,,,,4,Ostracods,SIA,,,,,,,,1.9,DRKCBN 6/17/19,A3,"13C, 15N",No,-31.25445405,530.9015482,,6.231358052,108.5942569,,1621207,374716,D
Knaggs 1/19/19 #6,Knaggs,2019-01-09,Zooplankton ,N,,,,,,,6,Bulk,"80% Ostracod, 10% pulex, 10% copepod; SIA",,,,,,,,1.6,DRKCBN 6/17/19,A4,"13C, 15N",No,-33.63800559,736.7016376,,7.04773444,150.0209291,,1621208,374717,D
Knaggs 1/17/19 #8,Knaggs,2019-01-17,Zooplankton ,N,,,,,,,8,Ostracods,SIA,,,,,,,,1.9,DRKCBN 6/17/19,A5,"13C, 15N",No,-28.46501522,530.9015482,,5.589133151,108.2362244,,1621209,374718,D
Knaggs 1/17/19 #10,Knaggs,2019-01-17,Zooplankton ,N,,,,,,,10,Bulk,99% Ostracods; SIA,,,,,,,,1.4,DRKCBN 6/17/19,A6,"13C, 15N",No,-27.93659674,342.054659,,5.463203968,59.75964567,,1621210,374719,D
Cos Beach1/17/19 #13,CosBeach,2019-01-17,Zooplankton ,N,,,,,,,13,Bulk,"75% Acantho, 15% Daphnia (Pulex, Ceriodaphnia, Bosmina), 10% Rotifer; SIA",,,,,,,,1.4,DRKCBN 6/17/19,A7,"13C, 15N",No,-34.17925964,424.1043979,,7.980407148,99.63879651,,1621211,374720,D
XSSAC 1/21/19 #16,XSSAC,2019-01-21,Zooplankton ,N,,,,,,,16,Bulk,"15% Acantho, 40% Ceriodaphnia, 40% Pulex, 5% Rotifer; SIA",,,,,,,,0.6,DRKCBN 6/17/19,A8,"13C, 15N",No,-30.22859262,250.2641633,,4.818398985,50.75152465,,1621212,374721,D
XSSAC 1/28/19 #17,XSSAC,2019-01-28,Zooplankton ,N,,,,,,,17,Bulk,"80% Pulex, 10% Pseudo, 10% Acantho; SIA",,,,,,,,0.7,DRKCBN 6/17/19,A9,"13C, 15N",No,-30.18582922,292.8673541,,5.236558622,62.28018486,,1621213,374722,D
Knaggs 1/29/19 #20,Knaggs,2019-01-29,Zooplankton ,N,,,,,,,20,Pulex,SIA,,,,,,,,1.8,DRKCBN 6/17/19,A10,"13C, 15N",No,-31.32329606,755.9379065,,6.708257417,158.21008,,1621214,374723,D
Knaggs 1/29/19 #22,Knaggs,2019-01-29,Zooplankton ,N,,,,,,,22,Ostracods,SIA,,,,,,,,1.9,DRKCBN 6/17/19,A11,"13C, 15N",No,-28.88731363,473.3767797,,7.318245705,93.54355405,,1621215,374724,D
Knaggs 1/29/19 #24,Knaggs,2019-01-29,Zooplankton ,N,,,,,,,24,Bulk,"98% Pulex, 2% Acantho; SIA",,,,,,,,1.2,DRKCBN 6/17/19,A12,"13C, 15N",No,-31.51372751,473.3767797,,6.704311845,101.430663,,1621216,374725,D
Cos Beach 2/1/19 #26,CosBeach,2019-02-01,Zooplankton ,N,,,,,,,26,Bulk,"55% Acantho, 25% Calanoid, 10% Pulex, 10% Chydorus; SIA",,,,,,,,1.6,DRKCBN 6/17/19,B1,"13C, 15N",No,-32.92910497,722.9643996,,8.082626224,153.5824363,,1621217,374732,D
Cos Tri 2/1/19 #28,CosTri,2019-02-01,Zooplankton ,N,,,,,,,28,Bulk,"80% Acantho, 10% calanoid, 10% Pulex; SIA",,,,,,,,1.6,DRKCBN 6/17/19,B2,"13C, 15N",No,-34.09210148,654.3151354,,9.053269149,171.3667394,,1621218,374733,D
XSSAC 2/11/19 #30,XSSAC,2019-02-11,Zooplankton ,N,,,,,,,30,Bulk,"50% Pulex, 10% Bosmina, 35% Acantho, 5% Pseudo; SIA",,,,,,,,1,DRKCBN 6/17/19,B3,"13C, 15N",No,-31.80390216,380.3335086,,5.062919295,76.30929579,,1621219,374734,D
