Site,Date,Cage_No,FL_mm,Wt_g,Photo_ID,FISH_Number,,Notes
COS-TRI,2/20/2019,1,55,2.12,590,,,
COS-TRI,2/20/2019,1,51,1.57,591,,,
COS-TRI,2/20/2019,1,51,1.58,592,,,
COS-TRI,2/20/2019,1,49,1.42,593,,,
COS-TRI,2/20/2019,1,50,1.44,594,,,
COS-TRI,2/20/2019,1,52,1.69,595,,,
COS-TRI,2/20/2019,1,49,1.43,596,,,
COS-TRI,2/20/2019,1,52,1.34,597,,,
COS-TRI,2/20/2019,1,52,1.42,598,,,
COS-TRI,2/20/2019,1,52,1.66,599,,,
COS-TRI,2/20/2019,1,50,1.49,600,,,
COS-TRI,2/20/2019,2,50,1.41,601,,,
COS-TRI,2/20/2019,2,50,1.43,602,,,
COS-TRI,2/20/2019,2,49,1.4,603,,,
COS-TRI,2/20/2019,2,49,1.22,604,,,
COS-TRI,2/20/2019,2,50,1.43,605,,,
COS-TRI,2/20/2019,2,50,1.48,606,,,
COS-TRI,2/20/2019,2,50,1.52,607,,,
COS-TRI,2/20/2019,2,48,1.13,608,,,
COS-TRI,2/20/2019,2,48,1.23,609,,,
BABYMARSH,2/20/2019,1,51,,593,,,Ryan's Camera
BABYMARSH,2/20/2019,1,50,,594,,,Ryan's Camera
BABYMARSH,2/20/2019,1,50,,595,,,Ryan's Camera
BABYMARSH,2/20/2019,1,50,,596,,,Ryan's Camera
BABYMARSH,2/20/2019,1,48,,597,,,Ryan's Camera
BABYMARSH,2/20/2019,1,50,,598,,,Ryan's Camera
BABYMARSH,2/20/2019,1,48,,599,,,Ryan's Camera
BABYMARSH,2/20/2019,1,49,,600,,,Ryan's Camera
BABYMARSH,2/20/2019,1,48,,601,,,Ryan's Camera
BABYMARSH,2/20/2019,1,49,,602,,,Ryan's Camera
BABYMARSH,2/20/2019,2,50,,"603,604",,,Ryan's Camera
BABYMARSH,2/20/2019,2,49,,605,,,Ryan's Camera
BABYMARSH,2/20/2019,2,52,,606,,,Ryan's Camera
BABYMARSH,2/20/2019,2,52,,607,,,Ryan's Camera
