Site,Date,Method,Throws,Rope Length_m,FlowMeterBegin,FlowMeterEnd,MeshSize_Microns,RingSize_cm,TotalVolume_ml,SplitFraction,Volumesubsampled_ml,Phylum,Class,Subclass,Order,Family,Genus,Species,male/female,LifeStage,abundance,Group
Mok USRR,3/20/18,net throw,4,5,247869,249111,153,30,100,1,11,Arthropoda,Branchipoda,0,Cladocera,Bosminidae,Bosmina,bosmina,,adult,8,Cladocera
Mok USRR,3/20/18,net throw,4,5,247869,249111,153,30,100,1,11,Arthropoda,Branchipoda,0,Cladocera,Daphniidae,Ceriodaphnia,ceriodaphnia,,adult,1,Cladocera
Mok USRR,3/20/18,net throw,4,5,247869,249111,153,30,100,1,11,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydoridae,chydoridae,,adult,9,Cladocera
Mok USRR,3/20/18,net throw,4,5,247869,249111,153,30,100,1,11,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydorus,chydorus,,adult,9,Cladocera
Mok USRR,3/20/18,net throw,4,5,247869,249111,153,30,100,1,11,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Daphnia,pulex,,adult,3,Cladocera
Mok USRR,3/20/18,net throw,4,5,247869,249111,153,30,100,1,11,Arthropoda,Branchipoda,0,Cladocera,Sididae,sida,sida,,adult,1,Cladocera
Mok USRR,3/20/18,net throw,4,5,247869,249111,153,30,100,1,11,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,acanthocyclops,,adult,1,Copepoda
Mok USRR,3/20/18,net throw,4,5,247869,249111,153,30,100,1,11,Arthropoda,Maxillopoda,Copepoda,Calanoida,Pseudodiaptoidae,Pseudodiaptoidae,pseudodiaptoidae,,adult,3,Copepoda
Mok USRR,3/20/18,net throw,4,5,247869,249111,153,30,100,1,11,Nematoda,Nematoda,Nematoda,Nematoda,Nematoda,Nematoda,Nematoda,,adult,4,Nematoda
Mok USRR,3/20/18,net throw,4,5,247869,249111,153,30,100,1,11,Rotifera,Rotifera,Rotifera,Rotifera,Rotifera,Rotifera,rotifera,,adult,7,Rotifera
Mok USRR,3/20/18,net throw,4,5,247869,249111,153,30,100,1,11,Tardigrades,Tardigrades,Tardigrades,Tardigrades,Tardigrades,Tardigrades,Tardigrades,,adult,3,Tardigrada
Mok USRR,3/20/18,net throw,4,5,247869,249111,153,30,100,1,11,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,acanthocyclops,,copepidite,100,Copepoda
Mok USRR,3/20/18,net throw,4,5,247869,249111,153,30,100,1,11,Arthropoda,Maxillopoda,Copepoda,Calanoida,Pseudodiaptoidae,Pseudodiaptoidae,pseudodiaptoidae,,copepidite,17,Copepoda
Mok USRR,3/20/18,net throw,4,5,247869,249111,153,30,100,1,11,Arthopoda,Insecta,0,Diptera,Chironomidae,Chironomidae,chironomidae,,larvae,1,Insecta
Mok USRR,3/20/18,net throw,4,5,247869,249111,153,30,100,1,11,Arthopoda,Insecta,0,Diptera,Diptera,Diptera,diptera,,larvae,1,Insecta
Mok USRR,3/20/18,net throw,4,5,247869,249111,153,30,100,1,11,Arthropoda,Insecta,0,Ephemeroptera,Ephemeroptera,Ephemeroptera,Ephemeroptera,,larvae,1,Insecta
Mok USRR,3/20/18,net throw,4,5,247869,249111,153,30,100,1,11,Arthropoda,Maxillopoda,Copepoda,Calanoida,Calanoida,Calanoida,calanoida,,nauplii,18,Copepoda
Baby Marsh,7/3/18,net throw,4,5,297005,298483,153,30,100,1,1,Arthopoda,Malacostraca,0,Amphipoda,Hyalellidae,Hyalella,Hyalella,,adult,1,Amphipoda
Baby Marsh,7/3/18,net throw,4,5,297005,298483,153,30,100,1,1,Arthropoda,Arachnida,acari,Hydracarina,0,0,Acari,,adult,1,Arachnida
Baby Marsh,7/3/18,net throw,4,5,297005,298483,153,30,100,1,1,Arthropoda,Branchipoda,0,Cladocera,Daphniidae,Ceriodaphnia,Ceriodaphnia,,adult,1,Cladocera
Baby Marsh,7/3/18,net throw,4,5,297005,298483,153,30,100,1,1,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydoridae,Chydoridae,,adult,1,Cladocera
Baby Marsh,7/3/18,net throw,4,5,297005,298483,153,30,100,1,1,Arthropoda,Branchipoda,0,Cladocera,Siddidae,Diaphanosoma,Diaphanosoma,,adult,3,Cladocera
Baby Marsh,7/3/18,net throw,4,5,297005,298483,153,30,100,1,1,Arthropoda,Maxillopoda,Copepoda,Calanoida,Pseudodiaptoidae,Pseudodiaptoidae,Pseudodiaptoidae,,adult,2,Copepoda
Baby Marsh,7/3/18,net throw,4,5,297005,298483,153,30,100,1,1,Molussca,Gastropoda,Gastropoda,Gastropoda,Gastropoda,Gastropoda,Gastropoda,,adult,3,Gastropoda
Baby Marsh,7/3/18,net throw,4,5,297005,298483,153,30,100,1,1,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops,,copepidite,1,Copepoda
Baby Marsh,7/3/18,net throw,4,5,297005,298483,153,30,100,1,1,Arthropoda,Maxillopoda,Copepoda,Calanoida,Pseudodiaptoidae,Pseudodiaptoidae,Pseudodiaptoidae,,copepidite,120,Copepoda
Baby Marsh,7/3/18,net throw,4,5,297005,298483,153,30,100,1,1,Arthropoda,Maxillopoda,Copepoda,Calanoida,Calanoida,Calanoida,Calanoida,,nauplii,65,Copepoda
Baby Marsh,7/3/18,net throw,4,5,297005,298483,153,30,100,1,1,Arthropoda,Maxillopoda,Copepoda,Cyclooida,Cyclopidae,Cyclopidae,Cyclopoida,,nauplii,1,Copepoda
Cos Beach,12/10/18,net throw,4,5,437969,439825,153,30,100,1,5,Arthropoda,Arachnida,acari,Hydracarina,0,0,acari,,adult,1,Arachnida
Cos Beach,12/10/18,net throw,4,5,437969,439825,153,30,100,1,5,Arthropoda,Branchipoda,0,Cladocera,Bosminidae,Bosmina,bosmina,,adult,31,Cladocera
Cos Beach,12/10/18,net throw,4,5,437969,439825,153,30,100,1,5,Arthropoda,Branchipoda,0,Cladocera,Daphniidae,Ceriodaphnia,ceriodaphnia,,adult,1,Cladocera
Cos Beach,12/10/18,net throw,4,5,437969,439825,153,30,100,1,5,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydoridae,Chydoridae,,adult,4,Cladocera
Cos Beach,12/10/18,net throw,4,5,437969,439825,153,30,100,1,5,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydorus,chydorus,,adult,10,Cladocera
Cos Beach,12/10/18,net throw,4,5,437969,439825,153,30,100,1,5,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Daphnia,pulex,,adult,6,Cladocera
Cos Beach,12/10/18,net throw,4,5,437969,439825,153,30,100,1,5,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,acanthocyclops,,adult,6,Copepoda
Cos Beach,12/10/18,net throw,4,5,437969,439825,153,30,100,1,5,Arthropoda,Maxillopoda,Copepoda,Calanoida,Pseudodiaptoidae,Pseudodiaptoidae,pseudodiaptoidae,,adult,8,Copepoda
Cos Beach,12/10/18,net throw,4,5,437969,439825,153,30,100,1,5,Arthopoda,Ostracoda,Podacopa,Podacopida,Cyprididae,Cypridopsis,cypridopsis,,adult,1,Ostracoda
Cos Beach,12/10/18,net throw,4,5,437969,439825,153,30,100,1,5,Arthopoda,Ostracoda,Podacopa,Podacopida,Cyprididae,Eucypris,Eucypris,,adult,3,Ostracoda
Cos Beach,12/10/18,net throw,4,5,437969,439825,153,30,100,1,5,Rotifera,Rotifera,Rotifera,Rotifera,Rotifera,Rotifera,Rotifera,,adult,96,Rotifera
Cos Beach,12/10/18,net throw,4,5,437969,439825,153,30,100,1,5,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,acanthocyclops,,copepodite,101,Copepoda
Cos Beach,12/10/18,net throw,4,5,437969,439825,153,30,100,1,5,Arthropoda,Maxillopoda,Copepoda,Calanoida,Pseudodiaptoidae,Pseudodiaptoidae,pseudodiaptoidae,,copepodite,15,Copepoda
Cos Beach,12/10/18,net throw,4,5,437969,439825,153,30,100,1,5,Arthropoda,Branchipoda,0,Cladocera,Daphniidae,Daphniidae,Daphniidae,,embryo,1,Cladocera
Cos Beach,12/10/18,net throw,4,5,437969,439825,153,30,100,1,5,Arthropoda,Insecta,0,Ephemeroptera,Ephemeroptera,Ephemeroptera,ephemeroptera,,larvae,1,Insecta
Cos Beach,12/10/18,net throw,4,5,437969,439825,153,30,100,1,5,Arthropoda,Maxillopoda,Copepoda,Calanoida,Calanoida,Calanoida,calanoida,,nauplii,8,Copepoda
Cos Beach,12/10/18,net throw,4,5,437969,439825,153,30,100,1,5,Arthropoda,Maxillopoda,Copepoda,Cyclooida,Cyclopidae,Cyclopidae,cyclopoida,,nauplii,28,Copepoda
Cos Beach,12/20/18,net throw,4,5,462699,464142,153,30,200,1,2,Annelida,oligocheate,oligocheate,oligocheate,oligocheate,oligocheate,oligochaeta,,adult,1,Annelida
Cos Beach,12/20/18,net throw,4,5,462699,464142,153,30,200,1,2,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Alona,alona,,adult,1,Cladocera
Cos Beach,12/20/18,net throw,4,5,462699,464142,153,30,200,1,2,Arthropoda,Branchipoda,0,Cladocera,Bosminidae,Bosmina,bosmina,,adult,14,Cladocera
Cos Beach,12/20/18,net throw,4,5,462699,464142,153,30,200,1,2,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydoridae,Chydoridae,,adult,3,Cladocera
Cos Beach,12/20/18,net throw,4,5,462699,464142,153,30,200,1,2,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydorus,chydorus,,adult,1,Cladocera
Cos Beach,12/20/18,net throw,4,5,462699,464142,153,30,200,1,2,Arthropoda,Branchipoda,0,Cladocera,Ilyocryptidae,ilyocryptus,Ilyocryptus,,adult,2,Cladocera
Cos Beach,12/20/18,net throw,4,5,462699,464142,153,30,200,1,2,Rotifera,Rotifera,Rotifera,Rotifera,Rotifera,Rotifera,Rotifera,,adult,179,Rotifera
Cos Beach,12/20/18,net throw,4,5,462699,464142,153,30,200,1,2,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,acanthocyclops,,copepodite,18,Copepoda
Cos Beach,12/20/18,net throw,4,5,462699,464142,153,30,200,1,2,Arthropoda,Maxillopoda,Copepoda,Calanoida,Calanoida,Calanoida,calanoida,,nauplii,36,Copepoda
Cos Beach,12/20/18,net throw,4,5,462699,464142,153,30,200,1,2,Arthropoda,Maxillopoda,Copepoda,Cyclooida,Cyclopidae,Cyclopidae,cyclopoida,,nauplii,9,Copepoda
