"Plot Title: 20568253"
"#","Date Time, GMT-07:00","DO conc, mg/L","Temp, °C","Coupler Attached","Host Connected","Stopped","End Of File"
1,03/20/19 12:00:00 PM,9.40,18.00,,,,
2,03/20/19 12:15:00 PM,9.38,18.10,,,,
3,03/20/19 12:30:00 PM,9.35,18.24,,,,
4,03/20/19 12:45:00 PM,9.33,18.38,,,,
5,03/20/19 01:00:00 PM,9.35,18.34,,,,
6,03/20/19 01:15:00 PM,9.42,18.06,,,,
7,03/20/19 01:30:00 PM,9.46,17.88,,,,
8,03/20/19 01:45:00 PM,9.38,18.14,,,,
9,03/20/19 02:00:00 PM,9.19,16.82,,,,
10,03/20/19 02:15:00 PM,10.84,12.02,,,,
11,03/20/19 02:30:00 PM,11.08,11.42,,,,
12,03/20/19 02:45:00 PM,11.13,11.32,,,,
13,03/20/19 03:00:00 PM,11.14,11.32,,,,
14,03/20/19 03:15:00 PM,11.15,11.32,,,,
15,03/20/19 03:30:00 PM,11.16,11.34,,,,
16,03/20/19 03:45:00 PM,11.16,11.34,,,,
17,03/20/19 04:00:00 PM,11.17,11.34,,,,
18,03/20/19 04:15:00 PM,11.17,11.36,,,,
19,03/20/19 04:30:00 PM,11.18,11.36,,,,
20,03/20/19 04:45:00 PM,11.18,11.36,,,,
21,03/20/19 05:00:00 PM,11.19,11.36,,,,
22,03/20/19 05:15:00 PM,11.19,11.36,,,,
23,03/20/19 05:30:00 PM,11.20,11.36,,,,
24,03/20/19 05:45:00 PM,11.21,11.36,,,,
25,03/20/19 06:00:00 PM,11.22,11.34,,,,
26,03/20/19 06:15:00 PM,11.23,11.32,,,,
27,03/20/19 06:30:00 PM,11.22,11.30,,,,
28,03/20/19 06:45:00 PM,11.22,11.28,,,,
29,03/20/19 07:00:00 PM,11.23,11.24,,,,
30,03/20/19 07:15:00 PM,11.22,11.22,,,,
31,03/20/19 07:30:00 PM,11.22,11.18,,,,
32,03/20/19 07:45:00 PM,11.23,11.16,,,,
33,03/20/19 08:00:00 PM,11.23,11.14,,,,
34,03/20/19 08:15:00 PM,11.22,11.12,,,,
35,03/20/19 08:30:00 PM,11.20,11.10,,,,
36,03/20/19 08:45:00 PM,11.20,11.08,,,,
37,03/20/19 09:00:00 PM,11.19,11.04,,,,
38,03/20/19 09:15:00 PM,11.19,11.02,,,,
39,03/20/19 09:30:00 PM,11.18,11.00,,,,
40,03/20/19 09:45:00 PM,11.17,10.98,,,,
41,03/20/19 10:00:00 PM,11.16,10.96,,,,
42,03/20/19 10:15:00 PM,11.15,10.96,,,,
43,03/20/19 10:30:00 PM,11.13,10.94,,,,
44,03/20/19 10:45:00 PM,11.12,10.92,,,,
45,03/20/19 11:00:00 PM,11.11,10.92,,,,
