"Plot Title: 20568253"
"#","Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 20568253, SEN S/N: 20568253)","Temp, °C (LGR S/N: 20568253, SEN S/N: 20568253)","New Sensor Cap (LGR S/N: 20568253)","Expired Sensor Cap (LGR S/N: 20568253)","End Of File (LGR S/N: 20568253)"
1,08/20/19 12:00:00 PM,8.41,19.96,Logged,,
2,08/20/19 12:15:00 PM,8.45,19.84,,,
3,08/20/19 12:30:00 PM,8.48,19.84,,,
4,08/20/19 12:45:00 PM,8.46,19.88,,,
5,08/20/19 01:00:00 PM,8.47,19.92,,,
6,08/20/19 01:15:00 PM,8.48,19.96,,,
7,08/20/19 01:30:00 PM,8.50,20.00,,,
8,08/20/19 01:45:00 PM,8.49,20.04,,,
9,08/20/19 02:00:00 PM,8.51,20.08,,,
10,08/20/19 02:15:00 PM,8.53,20.14,,,
11,08/20/19 02:30:00 PM,8.54,20.18,,,
12,08/20/19 02:45:00 PM,8.57,20.24,,,
13,08/20/19 03:00:00 PM,8.55,20.28,,,
14,08/20/19 03:15:00 PM,8.58,20.32,,,
15,08/20/19 03:30:00 PM,8.59,20.36,,,
16,08/20/19 03:45:00 PM,8.61,20.42,,,
17,08/20/19 04:00:00 PM,8.62,20.48,,,
18,08/20/19 04:15:00 PM,8.62,20.50,,,
19,08/20/19 04:30:00 PM,8.61,20.52,,,
20,08/20/19 04:45:00 PM,8.61,20.56,,,
21,08/20/19 05:00:00 PM,8.62,20.58,,,
22,08/20/19 05:15:00 PM,8.64,20.60,,,
23,08/20/19 05:30:00 PM,8.62,20.62,,,
24,08/20/19 05:45:00 PM,8.65,20.62,,,
25,08/20/19 06:00:00 PM,8.65,20.64,,,
26,08/20/19 06:15:00 PM,8.64,20.64,,,
27,08/20/19 06:30:00 PM,8.65,20.64,,,
28,08/20/19 06:45:00 PM,8.64,20.64,,,
29,08/20/19 07:00:00 PM,8.63,20.64,,,
30,08/20/19 07:15:00 PM,8.63,20.64,,,
31,08/20/19 07:30:00 PM,8.63,20.64,,,
32,08/20/19 07:45:00 PM,8.63,20.64,,,
33,08/20/19 08:00:00 PM,8.63,20.62,,,
34,08/20/19 08:15:00 PM,8.61,20.62,,,
35,08/20/19 08:30:00 PM,8.62,20.60,,,
36,08/20/19 08:45:00 PM,8.61,20.60,,,
37,08/20/19 09:00:00 PM,8.60,20.60,,,
38,08/20/19 09:15:00 PM,8.59,20.58,,,
39,08/20/19 09:30:00 PM,8.59,20.58,,,
40,08/20/19 09:45:00 PM,8.58,20.56,,,
41,08/20/19 10:00:00 PM,8.58,20.56,,,
42,08/20/19 10:15:00 PM,8.45,20.54,,,
43,08/20/19 10:30:00 PM,8.53,20.54,,,
44,08/20/19 10:45:00 PM,8.34,20.52,,,
45,08/20/19 11:00:00 PM,8.49,20.52,,,
46,08/20/19 11:15:00 PM,8.51,20.50,,,
47,08/20/19 11:30:00 PM,8.51,20.50,,,
48,08/20/19 11:45:00 PM,8.50,20.50,,,
49,08/21/19 12:00:00 AM,8.46,20.48,,,
50,08/21/19 12:15:00 AM,8.49,20.48,,,
51,08/21/19 12:30:00 AM,8.49,20.48,,,
52,08/21/19 12:45:00 AM,8.49,20.46,,,
53,08/21/19 01:00:00 AM,8.48,20.44,,,
54,08/21/19 01:15:00 AM,8.48,20.42,,,
55,08/21/19 01:30:00 AM,8.47,20.40,,,
56,08/21/19 01:45:00 AM,8.48,20.38,,,
57,08/21/19 02:00:00 AM,8.48,20.36,,,
58,08/21/19 02:15:00 AM,8.47,20.34,,,
59,08/21/19 02:30:00 AM,8.45,20.30,,,
60,08/21/19 02:45:00 AM,8.45,20.28,,,
61,08/21/19 03:00:00 AM,8.43,20.24,,,
62,08/21/19 03:15:00 AM,8.44,20.22,,,
63,08/21/19 03:30:00 AM,8.44,20.18,,,
64,08/21/19 03:45:00 AM,8.42,20.14,,,
65,08/21/19 04:00:00 AM,8.41,20.10,,,
66,08/21/19 04:15:00 AM,8.42,20.08,,,
67,08/21/19 04:30:00 AM,8.40,20.04,,,
68,08/21/19 04:45:00 AM,8.41,20.00,,,
69,08/21/19 05:00:00 AM,8.38,19.96,,,
70,08/21/19 05:15:00 AM,8.38,19.92,,,
71,08/21/19 05:30:00 AM,8.35,19.88,,,
72,08/21/19 05:45:00 AM,8.39,19.84,,,
73,08/21/19 06:00:00 AM,8.38,19.78,,,
74,08/21/19 06:15:00 AM,8.37,19.74,,,
75,08/21/19 06:30:00 AM,8.37,19.72,,,
76,08/21/19 06:45:00 AM,8.35,19.68,,,
77,08/21/19 07:00:00 AM,8.37,19.62,,,
78,08/21/19 07:15:00 AM,8.35,19.60,,,
79,08/21/19 07:30:00 AM,8.36,19.56,,,
80,08/21/19 07:45:00 AM,8.38,19.52,,,
81,08/21/19 08:00:00 AM,8.38,19.50,,,
82,08/21/19 08:15:00 AM,8.39,19.48,,,
83,08/21/19 08:30:00 AM,8.29,19.48,,,
84,08/21/19 08:45:00 AM,8.35,19.48,,,
85,08/21/19 09:00:00 AM,8.39,19.48,,,
86,08/21/19 09:15:00 AM,8.39,19.48,,,
