"Plot Title: 20568254"
"#","Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 20568254, SEN S/N: 20568254)","Temp, °C (LGR S/N: 20568254, SEN S/N: 20568254)","Sensor Data Error (LGR S/N: 20568254)","Coupler Detached (LGR S/N: 20568254)","Coupler Attached (LGR S/N: 20568254)","Host Connected (LGR S/N: 20568254)","Stopped (LGR S/N: 20568254)","End Of File (LGR S/N: 20568254)"
1,03/25/19 12:00:00 PM,9.60,17.40,,,,,,
2,03/25/19 12:15:00 PM,9.60,17.36,,,,,,
3,03/25/19 12:30:00 PM,9.61,17.28,,,,,,
4,03/25/19 12:45:00 PM,9.63,17.26,,,,,,
5,03/25/19 01:00:00 PM,9.61,17.42,,,,,,
6,03/25/19 01:15:00 PM,9.61,17.34,,,,,,
7,03/25/19 01:30:00 PM,9.57,17.56,,,,,,
8,03/25/19 01:45:00 PM,9.54,17.80,,,,,,
9,03/25/19 02:00:00 PM,9.38,18.62,,,,,,
10,03/25/19 02:15:00 PM,9.27,19.32,,,,,,
11,03/25/19 02:30:00 PM,9.18,19.80,,,,,,
12,03/25/19 02:45:00 PM,9.12,20.00,,,,,,
13,03/25/19 03:00:00 PM,9.11,19.96,,,,,,
14,03/25/19 03:15:00 PM,9.09,19.96,,,,,,
15,03/25/19 03:30:00 PM,9.16,19.60,,,,,,
16,03/25/19 03:45:00 PM,9.24,19.12,,,,,,
17,03/25/19 04:00:00 PM,9.31,18.78,,,,,,
18,03/25/19 04:15:00 PM,9.31,18.80,,,,,,
19,03/25/19 04:30:00 PM,9.31,18.82,,,,,,
20,03/25/19 04:45:00 PM,9.16,19.46,,,,,,
21,03/25/19 05:00:00 PM,9.00,20.58,,,,,,
22,03/25/19 05:15:00 PM,9.34,15.48,,,,,,
23,03/25/19 05:30:00 PM,10.36,12.38,,,,,,
24,03/25/19 05:45:00 PM,10.55,11.86,,,,,,
25,03/25/19 06:00:00 PM,10.60,11.74,,,,,,
26,03/25/19 06:15:00 PM,10.62,11.70,,,,,,
27,03/25/19 06:30:00 PM,10.62,11.68,,,,,,
28,03/25/19 06:45:00 PM,10.63,11.68,,,,,,
29,03/25/19 07:00:00 PM,10.64,11.68,,,,,,
30,03/25/19 07:15:00 PM,10.64,11.68,,,,,,
31,03/25/19 07:30:00 PM,10.64,11.68,,,,,,
32,03/25/19 07:45:00 PM,10.66,11.66,,,,,,
33,03/25/19 08:00:00 PM,10.66,11.66,,,,,,
34,03/25/19 08:15:00 PM,10.67,11.66,,,,,,
35,03/25/19 08:30:00 PM,10.67,11.66,,,,,,
36,03/25/19 08:45:00 PM,10.66,11.66,,,,,,
37,03/25/19 09:00:00 PM,10.65,11.64,,,,,,
38,03/25/19 09:15:00 PM,10.65,11.64,,,,,,
39,03/25/19 09:30:00 PM,10.66,11.64,,,,,,
40,03/25/19 09:45:00 PM,10.66,11.62,,,,,,
41,03/25/19 10:00:00 PM,10.65,11.62,,,,,,
42,03/25/19 10:15:00 PM,10.65,11.62,,,,,,
43,03/25/19 10:30:00 PM,10.64,11.60,,,,,,
44,03/25/19 10:45:00 PM,10.65,11.60,,,,,,
45,03/25/19 11:00:00 PM,10.64,11.60,,,,,,
46,03/25/19 11:15:00 PM,10.62,11.60,,,,,,
47,03/25/19 11:30:00 PM,10.62,11.60,,,,,,
48,03/25/19 11:45:00 PM,10.62,11.60,,,,,,
49,03/26/19 12:00:00 AM,10.60,11.60,,,,,,
50,03/26/19 12:15:00 AM,10.60,11.60,,,,,,
51,03/26/19 12:30:00 AM,10.60,11.60,,,,,,
52,03/26/19 12:45:00 AM,10.59,11.62,,,,,,
53,03/26/19 01:00:00 AM,10.58,11.62,,,,,,
54,03/26/19 01:15:00 AM,10.56,11.62,,,,,,
55,03/26/19 01:30:00 AM,10.56,11.62,,,,,,
56,03/26/19 01:45:00 AM,10.55,11.62,,,,,,
57,03/26/19 02:00:00 AM,10.55,11.62,,,,,,
58,03/26/19 02:15:00 AM,10.54,11.62,,,,,,
59,03/26/19 02:30:00 AM,10.53,11.62,,,,,,
60,03/26/19 02:45:00 AM,10.52,11.62,,,,,,
61,03/26/19 03:00:00 AM,10.52,11.62,,,,,,
62,03/26/19 03:15:00 AM,10.51,11.60,,,,,,
63,03/26/19 03:30:00 AM,10.51,11.60,,,,,,
64,03/26/19 03:45:00 AM,10.51,11.60,,,,,,
65,03/26/19 04:00:00 AM,10.50,11.60,,,,,,
66,03/26/19 04:15:00 AM,10.49,11.62,,,,,,
67,03/26/19 04:30:00 AM,10.49,11.62,,,,,,
68,03/26/19 04:45:00 AM,10.48,11.62,,,,,,
69,03/26/19 05:00:00 AM,10.47,11.62,,,,,,
70,03/26/19 05:15:00 AM,10.47,11.62,,,,,,
71,03/26/19 05:30:00 AM,10.46,11.62,,,,,,
72,03/26/19 05:45:00 AM,10.45,11.62,,,,,,
73,03/26/19 06:00:00 AM,10.44,11.62,,,,,,
74,03/26/19 06:15:00 AM,10.44,11.62,,,,,,
75,03/26/19 06:30:00 AM,10.43,11.64,,,,,,
76,03/26/19 06:45:00 AM,10.43,11.62,,,,,,
77,03/26/19 07:00:00 AM,10.43,11.62,,,,,,
78,03/26/19 07:15:00 AM,10.42,11.62,,,,,,
79,03/26/19 07:30:00 AM,10.42,11.64,,,,,,
80,03/26/19 07:45:00 AM,10.42,11.64,,,,,,
81,03/26/19 08:00:00 AM,10.42,11.64,,,,,,
82,03/26/19 08:15:00 AM,10.41,11.64,,,,,,
83,03/26/19 08:30:00 AM,10.41,11.64,,,,,,
84,03/26/19 08:45:00 AM,10.41,11.64,,,,,,
85,03/26/19 09:00:00 AM,10.41,11.66,,,,,,
86,03/26/19 09:15:00 AM,10.40,11.66,,,,,,
87,03/26/19 09:30:00 AM,10.41,11.68,,,,,,
88,03/26/19 09:45:00 AM,10.40,11.68,,,,,,
89,03/26/19 10:00:00 AM,10.41,11.68,,,,,,
90,03/26/19 10:15:00 AM,10.42,11.68,,,,,,
91,03/26/19 10:30:00 AM,10.43,11.70,,,,,,
92,03/26/19 10:45:00 AM,10.41,11.70,,,,,,
93,03/26/19 11:00:00 AM,10.43,11.72,,,,,,
94,03/26/19 11:15:00 AM,10.43,11.72,,,,,,
95,03/26/19 11:30:00 AM,10.43,11.74,,,,,,
96,03/26/19 11:45:00 AM,10.43,11.74,,,,,,
97,03/26/19 12:00:00 PM,10.43,11.74,,,,,,
98,03/26/19 12:15:00 PM,10.43,11.76,,,,,,
99,03/26/19 12:30:00 PM,10.44,11.78,,,,,,
100,03/26/19 12:45:00 PM,10.44,11.78,,,,,,
101,03/26/19 01:00:00 PM,10.46,11.78,,,,,,
102,03/26/19 01:15:00 PM,10.46,11.80,,,,,,
103,03/26/19 01:30:00 PM,10.47,11.80,,,,,,
104,03/26/19 01:45:00 PM,10.50,11.80,,,,,,
105,03/26/19 02:00:00 PM,10.51,11.80,,,,,,
106,03/26/19 02:15:00 PM,10.52,11.82,,,,,,
107,03/26/19 02:30:00 PM,10.54,11.82,,,,,,
108,03/26/19 02:45:00 PM,10.53,11.84,,,,,,
109,03/26/19 03:00:00 PM,10.56,11.86,,,,,,
110,03/26/19 03:15:00 PM,10.57,11.86,,,,,,
111,03/26/19 03:30:00 PM,10.58,11.90,,,,,,
112,03/26/19 03:45:00 PM,10.59,11.88,,,,,,
113,03/26/19 04:00:00 PM,10.60,11.90,,,,,,
114,03/26/19 04:15:00 PM,10.61,11.90,,,,,,
115,03/26/19 04:30:00 PM,10.61,11.90,,,,,,
116,03/26/19 04:45:00 PM,10.61,11.90,,,,,,
117,03/26/19 05:00:00 PM,10.64,11.90,,,,,,
118,03/26/19 05:15:00 PM,10.64,11.90,,,,,,
119,03/26/19 05:30:00 PM,10.66,11.90,,,,,,
120,03/26/19 05:45:00 PM,10.67,11.90,,,,,,
121,03/26/19 06:00:00 PM,10.67,11.92,,,,,,
122,03/26/19 06:15:00 PM,10.68,11.90,,,,,,
123,03/26/19 06:30:00 PM,10.69,11.90,,,,,,
124,03/26/19 06:45:00 PM,10.69,11.90,,,,,,
125,03/26/19 07:00:00 PM,10.69,11.90,,,,,,
126,03/26/19 07:15:00 PM,10.71,11.90,,,,,,
127,03/26/19 07:30:00 PM,10.71,11.88,,,,,,
128,03/26/19 07:45:00 PM,10.71,11.88,,,,,,
129,03/26/19 08:00:00 PM,10.71,11.86,,,,,,
130,03/26/19 08:15:00 PM,10.74,11.86,,,,,,
131,03/26/19 08:30:00 PM,10.74,11.86,,,,,,
132,03/26/19 08:45:00 PM,10.75,11.84,,,,,,
133,03/26/19 09:00:00 PM,10.75,11.84,,,,,,
134,03/26/19 09:15:00 PM,10.75,11.84,,,,,,
135,03/26/19 09:30:00 PM,10.75,11.84,,,,,,
136,03/26/19 09:45:00 PM,10.75,11.84,,,,,,
137,03/26/19 10:00:00 PM,10.76,11.84,,,,,,
138,03/26/19 10:15:00 PM,10.75,11.84,,,,,,
139,03/26/19 10:30:00 PM,10.74,11.84,,,,,,
140,03/26/19 10:45:00 PM,10.74,11.84,,,,,,
141,03/26/19 11:00:00 PM,10.71,11.84,,,,,,
142,03/26/19 11:15:00 PM,10.73,11.84,,,,,,
143,03/26/19 11:30:00 PM,10.71,11.84,,,,,,
144,03/26/19 11:45:00 PM,10.71,11.82,,,,,,
145,03/27/19 12:00:00 AM,10.70,11.82,,,,,,
146,03/27/19 12:15:00 AM,10.69,11.84,,,,,,
147,03/27/19 12:30:00 AM,10.69,11.84,,,,,,
148,03/27/19 12:45:00 AM,10.68,11.84,,,,,,
149,03/27/19 01:00:00 AM,10.68,11.84,,,,,,
150,03/27/19 01:15:00 AM,10.68,11.84,,,,,,
151,03/27/19 01:30:00 AM,10.67,11.82,,,,,,
152,03/27/19 01:45:00 AM,10.66,11.82,,,,,,
153,03/27/19 02:00:00 AM,10.66,11.82,,,,,,
154,03/27/19 02:15:00 AM,10.65,11.82,,,,,,
155,03/27/19 02:30:00 AM,10.66,11.82,,,,,,
156,03/27/19 02:45:00 AM,10.66,11.82,,,,,,
157,03/27/19 03:00:00 AM,10.65,11.82,,,,,,
158,03/27/19 03:15:00 AM,10.65,11.80,,,,,,
159,03/27/19 03:30:00 AM,10.65,11.80,,,,,,
160,03/27/19 03:45:00 AM,10.65,11.82,,,,,,
161,03/27/19 04:00:00 AM,10.63,11.80,,,,,,
162,03/27/19 04:15:00 AM,10.64,11.80,,,,,,
163,03/27/19 04:30:00 AM,10.63,11.82,,,,,,
164,03/27/19 04:45:00 AM,10.62,11.82,,,,,,
165,03/27/19 05:00:00 AM,10.62,11.82,,,,,,
166,03/27/19 05:15:00 AM,10.61,11.82,,,,,,
167,03/27/19 05:30:00 AM,10.61,11.84,,,,,,
168,03/27/19 05:45:00 AM,10.59,11.84,,,,,,
169,03/27/19 06:00:00 AM,10.59,11.84,,,,,,
170,03/27/19 06:15:00 AM,10.59,11.86,,,,,,
171,03/27/19 06:30:00 AM,10.58,11.86,,,,,,
172,03/27/19 06:45:00 AM,10.58,11.88,,,,,,
173,03/27/19 07:00:00 AM,10.58,11.88,,,,,,
174,03/27/19 07:15:00 AM,10.57,11.88,,,,,,
175,03/27/19 07:30:00 AM,10.57,11.88,,,,,,
176,03/27/19 07:45:00 AM,10.58,11.88,,,,,,
177,03/27/19 08:00:00 AM,10.57,11.88,,,,,,
178,03/27/19 08:15:00 AM,10.57,11.90,,,,,,
179,03/27/19 08:30:00 AM,10.57,11.90,,,,,,
180,03/27/19 08:45:00 AM,10.57,11.90,,,,,,
181,03/27/19 09:00:00 AM,10.57,11.90,,,,,,
182,03/27/19 09:15:00 AM,10.57,11.90,,,,,,
183,03/27/19 09:30:00 AM,10.56,11.90,,,,,,
184,03/27/19 09:45:00 AM,10.59,11.90,,,,,,
185,03/27/19 10:00:00 AM,10.57,11.88,,,,,,
186,03/27/19 10:15:00 AM,10.57,11.88,,,,,,
187,03/27/19 10:30:00 AM,10.58,11.88,,,,,,
188,03/27/19 10:45:00 AM,10.57,11.88,,,,,,
189,03/27/19 11:00:00 AM,10.57,11.88,,,,,,
190,03/27/19 11:15:00 AM,10.58,11.90,,,,,,
191,03/27/19 11:30:00 AM,10.58,11.88,,,,,,
192,03/27/19 11:45:00 AM,10.55,11.86,,,,,,
193,03/27/19 12:00:00 PM,10.55,11.84,,,,,,
194,03/27/19 12:15:00 PM,10.55,11.84,,,,,,
195,03/27/19 12:30:00 PM,10.55,11.82,,,,,,
196,03/27/19 12:45:00 PM,10.56,11.80,,,,,,
197,03/27/19 01:00:00 PM,10.56,11.80,,,,,,
198,03/27/19 01:15:00 PM,10.56,11.78,,,,,,
199,03/27/19 01:30:00 PM,10.59,11.76,,,,,,
200,03/27/19 01:45:00 PM,10.59,11.72,,,,,,
201,03/27/19 02:00:00 PM,10.59,11.70,,,,,,
202,03/27/19 02:15:00 PM,10.64,11.74,,,,,,
203,03/27/19 02:30:00 PM,10.60,11.70,,,,,,
204,03/27/19 02:45:00 PM,10.61,11.70,,,,,,
205,03/27/19 03:00:00 PM,10.61,11.70,,,,,,
206,03/27/19 03:15:00 PM,10.63,11.70,,,,,,
207,03/27/19 03:30:00 PM,10.63,11.68,,,,,,
208,03/27/19 03:45:00 PM,10.63,11.70,,,,,,
209,03/27/19 04:00:00 PM,10.63,11.72,,,,,,
210,03/27/19 04:15:00 PM,10.69,11.74,,,,,,
211,03/27/19 04:30:00 PM,10.68,11.74,,,,,,
212,03/27/19 04:45:00 PM,10.65,11.72,,,,,,
213,03/27/19 05:00:00 PM,10.64,11.74,,,,,,
214,03/27/19 05:15:00 PM,10.64,11.72,,,,,,
215,03/27/19 05:30:00 PM,10.64,11.72,,,,,,
216,03/27/19 05:45:00 PM,10.63,11.70,,,,,,
217,03/27/19 06:00:00 PM,10.64,11.72,,,,,,
218,03/27/19 06:15:00 PM,10.64,11.72,,,,,,
219,03/27/19 06:30:00 PM,10.64,11.72,,,,,,
220,03/27/19 06:45:00 PM,10.64,11.74,,,,,,
221,03/27/19 07:00:00 PM,10.64,11.74,,,,,,
222,03/27/19 07:15:00 PM,10.64,11.74,,,,,,
223,03/27/19 07:30:00 PM,10.65,11.74,,,,,,
224,03/27/19 07:45:00 PM,10.66,11.76,,,,,,
225,03/27/19 08:00:00 PM,10.65,11.76,,,,,,
226,03/27/19 08:15:00 PM,10.65,11.76,,,,,,
227,03/27/19 08:30:00 PM,10.66,11.78,,,,,,
228,03/27/19 08:45:00 PM,10.65,11.78,,,,,,
229,03/27/19 09:00:00 PM,10.66,11.80,,,,,,
230,03/27/19 09:15:00 PM,10.66,11.80,,,,,,
231,03/27/19 09:30:00 PM,10.65,11.82,,,,,,
232,03/27/19 09:45:00 PM,10.65,11.82,,,,,,
233,03/27/19 10:00:00 PM,10.66,11.84,,,,,,
234,03/27/19 10:15:00 PM,10.65,11.84,,,,,,
235,03/27/19 10:30:00 PM,10.64,11.84,,,,,,
236,03/27/19 10:45:00 PM,10.66,11.84,,,,,,
237,03/27/19 11:00:00 PM,10.64,11.84,,,,,,
238,03/27/19 11:15:00 PM,10.64,11.84,,,,,,
239,03/27/19 11:30:00 PM,10.63,11.86,,,,,,
240,03/27/19 11:45:00 PM,10.63,11.86,,,,,,
241,03/28/19 12:00:00 AM,10.62,11.86,,,,,,
242,03/28/19 12:15:00 AM,10.62,11.86,,,,,,
243,03/28/19 12:30:00 AM,10.61,11.86,,,,,,
244,03/28/19 12:45:00 AM,10.61,11.88,,,,,,
245,03/28/19 01:00:00 AM,10.60,11.88,,,,,,
246,03/28/19 01:15:00 AM,10.61,11.88,,,,,,
247,03/28/19 01:30:00 AM,10.60,11.88,,,,,,
248,03/28/19 01:45:00 AM,10.58,11.88,,,,,,
249,03/28/19 02:00:00 AM,10.59,11.90,,,,,,
250,03/28/19 02:15:00 AM,10.58,11.90,,,,,,
251,03/28/19 02:30:00 AM,10.58,11.90,,,,,,
252,03/28/19 02:45:00 AM,10.58,11.90,,,,,,
253,03/28/19 03:00:00 AM,10.57,11.90,,,,,,
254,03/28/19 03:15:00 AM,10.57,11.90,,,,,,
255,03/28/19 03:30:00 AM,10.57,11.90,,,,,,
256,03/28/19 03:45:00 AM,10.56,11.88,,,,,,
257,03/28/19 04:00:00 AM,10.56,11.88,,,,,,
258,03/28/19 04:15:00 AM,10.55,11.88,,,,,,
259,03/28/19 04:30:00 AM,10.55,11.88,,,,,,
260,03/28/19 04:45:00 AM,10.55,11.88,,,,,,
261,03/28/19 05:00:00 AM,10.54,11.86,,,,,,
262,03/28/19 05:15:00 AM,10.54,11.86,,,,,,
263,03/28/19 05:30:00 AM,10.55,11.86,,,,,,
264,03/28/19 05:45:00 AM,10.54,11.84,,,,,,
265,03/28/19 06:00:00 AM,10.55,11.84,,,,,,
266,03/28/19 06:15:00 AM,10.55,11.84,,,,,,
267,03/28/19 06:30:00 AM,10.54,11.84,,,,,,
268,03/28/19 06:45:00 AM,10.56,11.82,,,,,,
269,03/28/19 07:00:00 AM,10.54,11.82,,,,,,
270,03/28/19 07:15:00 AM,10.56,11.82,,,,,,
271,03/28/19 07:30:00 AM,10.55,11.80,,,,,,
272,03/28/19 07:45:00 AM,10.55,11.80,,,,,,
273,03/28/19 08:00:00 AM,10.55,11.78,,,,,,
274,03/28/19 08:15:00 AM,10.56,11.78,,,,,,
275,03/28/19 08:30:00 AM,10.56,11.78,,,,,,
276,03/28/19 08:45:00 AM,10.56,11.76,,,,,,
277,03/28/19 09:00:00 AM,10.57,11.78,,,,,,
278,03/28/19 09:15:00 AM,10.57,11.78,,,,,,
279,03/28/19 09:30:00 AM,10.55,11.78,,,,,,
280,03/28/19 09:45:00 AM,10.56,11.78,,,,,,
281,03/28/19 10:00:00 AM,10.58,11.78,,,,,,
282,03/28/19 10:15:00 AM,10.56,11.78,,,,,,
283,03/28/19 10:30:00 AM,10.56,11.78,,,,,,
284,03/28/19 10:45:00 AM,10.55,11.80,,,,,,
285,03/28/19 11:00:00 AM,10.57,11.82,,,,,,
286,03/28/19 11:15:00 AM,10.56,11.82,,,,,,
287,03/28/19 11:30:00 AM,10.57,11.82,,,,,,
288,03/28/19 11:45:00 AM,10.58,11.84,,,,,,
289,03/28/19 12:00:00 PM,10.57,11.84,,,,,,
290,03/28/19 12:15:00 PM,10.55,11.84,,,,,,
291,03/28/19 12:30:00 PM,10.55,11.84,,,,,,
292,03/28/19 12:45:00 PM,10.57,11.84,,,,,,
293,03/28/19 01:00:00 PM,10.57,11.86,,,,,,
294,03/28/19 01:15:00 PM,10.56,11.86,,,,,,
295,03/28/19 01:30:00 PM,10.56,11.84,,,,,,
296,03/28/19 01:45:00 PM,10.56,11.84,,,,,,
297,03/28/19 02:00:00 PM,10.55,11.84,,,,,,
298,03/28/19 02:15:00 PM,10.55,11.82,,,,,,
299,03/28/19 02:30:00 PM,10.57,11.82,,,,,,
300,03/28/19 02:45:00 PM,10.57,11.82,,,,,,
301,03/28/19 03:00:00 PM,10.58,11.82,,,,,,
302,03/28/19 03:15:00 PM,10.60,11.84,,,,,,
303,03/28/19 03:30:00 PM,10.61,11.84,,,,,,
304,03/28/19 03:45:00 PM,10.62,11.84,,,,,,
305,03/28/19 04:00:00 PM,10.62,11.84,,,,,,
306,03/28/19 04:15:00 PM,10.63,11.84,,,,,,
307,03/28/19 04:30:00 PM,10.63,11.84,,,,,,
308,03/28/19 04:45:00 PM,10.63,11.86,,,,,,
309,03/28/19 05:00:00 PM,10.63,11.86,,,,,,
310,03/28/19 05:15:00 PM,10.63,11.86,,,,,,
311,03/28/19 05:30:00 PM,10.65,11.86,,,,,,
312,03/28/19 05:45:00 PM,10.65,11.88,,,,,,
313,03/28/19 06:00:00 PM,10.65,11.88,,,,,,
314,03/28/19 06:15:00 PM,10.63,11.88,,,,,,
315,03/28/19 06:30:00 PM,10.63,11.88,,,,,,
316,03/28/19 06:45:00 PM,10.63,11.88,,,,,,
317,03/28/19 07:00:00 PM,10.62,11.88,,,,,,
318,03/28/19 07:15:00 PM,10.62,11.88,,,,,,
319,03/28/19 07:30:00 PM,10.63,11.88,,,,,,
320,03/28/19 07:45:00 PM,10.64,11.88,,,,,,
321,03/28/19 08:00:00 PM,10.63,11.90,,,,,,
322,03/28/19 08:15:00 PM,10.63,11.90,,,,,,
323,03/28/19 08:30:00 PM,10.63,11.92,,,,,,
324,03/28/19 08:45:00 PM,10.63,11.94,,,,,,
325,03/28/19 09:00:00 PM,10.63,11.94,,,,,,
326,03/28/19 09:15:00 PM,10.63,11.94,,,,,,
327,03/28/19 09:30:00 PM,10.62,11.96,,,,,,
328,03/28/19 09:45:00 PM,10.63,11.98,,,,,,
329,03/28/19 10:00:00 PM,10.62,11.98,,,,,,
330,03/28/19 10:15:00 PM,10.62,11.98,,,,,,
331,03/28/19 10:30:00 PM,10.61,11.98,,,,,,
332,03/28/19 10:45:00 PM,10.63,11.98,,,,,,
333,03/28/19 11:00:00 PM,10.62,11.98,,,,,,
334,03/28/19 11:15:00 PM,10.62,11.98,,,,,,
335,03/28/19 11:30:00 PM,10.63,11.98,,,,,,
336,03/28/19 11:45:00 PM,10.61,11.98,,,,,,
337,03/29/19 12:00:00 AM,10.60,11.98,,,,,,
338,03/29/19 12:15:00 AM,10.60,11.96,,,,,,
339,03/29/19 12:30:00 AM,10.59,11.96,,,,,,
340,03/29/19 12:45:00 AM,10.59,11.94,,,,,,
341,03/29/19 01:00:00 AM,10.58,11.94,,,,,,
342,03/29/19 01:15:00 AM,10.56,11.92,,,,,,
343,03/29/19 01:30:00 AM,10.56,11.92,,,,,,
344,03/29/19 01:45:00 AM,10.54,11.92,,,,,,
345,03/29/19 02:00:00 AM,10.53,11.90,,,,,,
346,03/29/19 02:15:00 AM,10.52,11.90,,,,,,
347,03/29/19 02:30:00 AM,10.50,11.88,,,,,,
348,03/29/19 02:45:00 AM,10.50,11.86,,,,,,
349,03/29/19 03:00:00 AM,10.51,11.84,,,,,,
350,03/29/19 03:15:00 AM,10.49,11.84,,,,,,
351,03/29/19 03:30:00 AM,10.49,11.84,,,,,,
352,03/29/19 03:45:00 AM,10.47,11.82,,,,,,
353,03/29/19 04:00:00 AM,10.46,11.82,,,,,,
354,03/29/19 04:15:00 AM,10.46,11.82,,,,,,
355,03/29/19 04:30:00 AM,10.46,11.82,,,,,,
