"datetime	do_perc	temp_c"
"1/16/2019 6:00	11.24	11.06"
"1/16/2019 6:15	11.21	11.08"
"1/16/2019 6:30	11.12	11.4"
"1/16/2019 6:45	10.94	12.18"
"1/16/2019 7:00	10.7	13.18"
"1/16/2019 7:15	10.53	13.18"
"1/16/2019 7:30	5.56	11.4"
"1/16/2019 7:45	5.84	10.36"
"1/16/2019 8:00	5.93	10.06"
"1/16/2019 8:15	5.98	9.98"
"1/16/2019 8:30	6.02	9.96"
"1/16/2019 8:45	6.03	9.98"
"1/16/2019 9:00	6.04	10"
"1/16/2019 9:15	6.05	10.02"
"1/16/2019 9:30	6.06	10.04"
"1/16/2019 9:45	6.07	10.06"
"1/16/2019 10:00	6.07	10.1"
"1/16/2019 10:15	6.09	10.12"
"1/16/2019 10:30	6.05	10.14"
"1/16/2019 10:45	6.09	10.18"
"1/16/2019 11:00	6.15	10.2"
"1/16/2019 11:15	6.19	10.24"
"1/16/2019 11:30	6.24	10.26"
"1/16/2019 11:45	6.3	10.3"
"1/16/2019 12:00	6.33	10.32"
"1/16/2019 12:15	6.34	10.34"
"1/16/2019 12:30	6.38	10.38"
"1/16/2019 12:45	6.42	10.42"
"1/16/2019 13:00	6.51	10.44"
"1/16/2019 13:15	6.54	10.46"
"1/16/2019 13:30	6.57	10.48"
"1/16/2019 13:45	6.61	10.5"
"1/16/2019 14:00	6.63	10.52"
"1/16/2019 14:15	6.59	10.54"
"1/16/2019 14:30	6.58	10.56"
"1/16/2019 14:45	6.61	10.56"
"1/16/2019 15:00	6.62	10.58"
"1/16/2019 15:15	6.63	10.6"
"1/16/2019 15:30	6.69	10.62"
"1/16/2019 15:45	6.77	10.62"
"1/16/2019 16:00	6.81	10.64"
"1/16/2019 16:15	6.83	10.64"
"1/16/2019 16:30	6.85	10.66"
"1/16/2019 16:45	6.99	10.66"
"1/16/2019 17:00	7.03	10.68"
"1/16/2019 17:15	6.97	10.68"
"1/16/2019 17:30	6.93	10.66"
"1/16/2019 17:45	6.91	10.66"
"1/16/2019 18:00	6.95	10.68"
"1/16/2019 18:15	6.97	10.68"
"1/16/2019 18:30	6.94	10.68"
"1/16/2019 18:45	6.89	10.7"
"1/16/2019 19:00	6.91	10.7"
"1/16/2019 19:15	7	10.72"
"1/16/2019 19:30	7.04	10.72"
"1/16/2019 19:45	7.05	10.74"
"1/16/2019 20:00	7.07	10.74"
"1/16/2019 20:15	7.14	10.74"
"1/16/2019 20:30	7.23	10.76"
"1/16/2019 20:45	7.29	10.76"
"1/16/2019 21:00	7.34	10.78"
"1/16/2019 21:15	7.5	10.78"
"1/16/2019 21:30	7.54	10.8"
"1/16/2019 21:45	7.57	10.8"
"1/16/2019 22:00	7.62	10.82"
"1/16/2019 22:15	7.73	10.84"
"1/16/2019 22:30	7.83	10.86"
"1/16/2019 22:45	8.06	10.9"
"1/16/2019 23:00	8.12	10.92"
"1/16/2019 23:15	8.1	10.94"
"1/16/2019 23:30	8.08	10.96"
"1/16/2019 23:45	8.09	10.96"
"1/17/2019 0:00	8.11	10.98"
"1/17/2019 0:15	8.09	10.98"
"1/17/2019 0:30	8.05	10.98"
"1/17/2019 0:45	8.05	10.96"
"1/17/2019 1:00	8.03	10.94"
"1/17/2019 1:15	8	10.94"
"1/17/2019 1:30	7.96	10.92"
"1/17/2019 1:45	7.92	10.92"
"1/17/2019 2:00	7.89	10.92"
"1/17/2019 2:15	7.86	10.92"
"1/17/2019 2:30	7.87	10.9"
"1/17/2019 2:45	7.89	10.9"
"1/17/2019 3:00	7.86	10.88"
"1/17/2019 3:15	7.86	10.86"
"1/17/2019 3:30	7.82	10.84"
"1/17/2019 3:45	7.79	10.84"
"1/17/2019 4:00	7.75	10.82"
"1/17/2019 4:15	7.74	10.8"
"1/17/2019 4:30	7.74	10.8"
"1/17/2019 4:45	7.75	10.78"
"1/17/2019 5:00	7.73	10.78"
"1/17/2019 5:15	7.73	10.8"
"1/17/2019 5:30	7.66	10.8"
"1/17/2019 5:45	7.6	10.8"
"1/17/2019 6:00	7.57	10.8"
"1/17/2019 6:15	7.62	10.8"
"1/17/2019 6:30	7.57	10.78"
"1/17/2019 6:45	7.49	10.74"
"1/17/2019 7:00	7.39	10.7"
"1/17/2019 7:15	7.42	10.64"
"1/17/2019 7:30	7.71	10.56"
"1/17/2019 7:45	7.94	10.52"
"1/17/2019 8:00	8.19	10.48"
"1/17/2019 8:15	8.35	10.46"
"1/17/2019 8:30	8.54	10.46"
"1/17/2019 8:45	8.65	10.46"
"1/17/2019 9:00	8.71	10.48"
"1/17/2019 9:15	8.75	10.48"
"1/17/2019 9:30	8.78	10.48"
"1/17/2019 9:45	8.79	10.5"
"1/17/2019 10:00	8.79	10.5"
"1/17/2019 10:15	8.79	10.52"
"1/17/2019 10:30	8.78	10.52"
"1/17/2019 10:45	8.77	10.54"
"1/17/2019 11:00	8.77	10.54"
"1/17/2019 11:15	8.79	10.54"
"1/17/2019 11:30	8.81	10.56"
"1/17/2019 11:45	8.84	10.56"
"1/17/2019 12:00	8.87	10.56"
"1/17/2019 12:15	8.88	10.6"
"1/17/2019 12:30	8.92	10.64"
"1/17/2019 12:45	8.93	10.66"
"1/17/2019 13:00	8.95	10.72"
"1/17/2019 13:15	8.96	10.78"
"1/17/2019 13:30	8.98	10.84"
"1/17/2019 13:45	9	10.88"
"1/17/2019 14:00	8.98	10.94"
"1/17/2019 14:15	8.96	10.98"
"1/17/2019 14:30	8.95	11.02"
"1/17/2019 14:45	8.92	11.04"
"1/17/2019 15:00	8.89	11.06"
"1/17/2019 15:15	8.84	11.08"
"1/17/2019 15:30	8.8	11.14"
"1/17/2019 15:45	8.77	11.2"
"1/17/2019 16:00	8.73	11.26"
